laka,français
ginà,sse (la)
bàl : Mh=bàl,UC
dèr,uclier
tà,uche
bôr,Français :
biya,bouillie
15gf,bouillir
bina,boule de mil
£-bii-si,"bousier, scarabée sacrée"
yel,braises
ngsw,brindille sèche
t5,"> |briser, casser"
müm : Mh=büû,brouillard
mù,brousse
kà,bruit
0,brûler
dÔg9i : Mh=dÔgi,buffle
débz,cacher
\iys,cacher; tendre
n1n,cadavre
mbàl,"cailloux, pierre, montagne"
£-ngé : Mob=ngé,calebasse
kôr-gè : Mh=jènt,calebasse - cuillère
Kkuü,"calebasse, esp. de"
£-1l1ya,iméléon
ndabé,inard
dùrà,inari (pour la bière)
£-s{ya,inne de sucre
)em,caracal
Cèdi,casser
dé,"ce, cet (emphatique)"
£-ngàw-bà : Mh=biwà,célibataire
t51,cent
däàn,"centre, milieu"
pàn,céphalophe à flancs roux
1âw,cerémonie d'initiation
dàra,ciel
mf,cinq
tèw,civette
àr,"clair, propre: être"
àI,cob des roseaux
BSngzrs,coeur
wüngü : Mh=wong,colère
Ciya,cc
känd#,mbien
bàn,mmen t ?
türa : Mh=t£dé,mpter
Ôds0,)ncerner
kôoso,»ncombre
ndè y,confier un travail
ndS j{,conseiller
gé1,consoler; bercer; tromper
£-sû,conte
njinga,convoiter
küra-màr,copain
küra,coq
ng6y,"coquille, écaille, écorce"
£-gàa,corbeau
Kkù13 : Mh=kÈ13,corde
gàji,corne
da-r5,corps
mb$r,côté de: à
kèàr,"côté, poitrine"
bi,coton
géb#,cou; gorge
Et0,couché : être
ùrû,coudre
ùn)jà,couper
tüga : Mh=gà,"uper, hacher"
£-gèbérs : Mh=gowûr,"urge non-comestible, esp."
r1ya,urgette : petite
ng5d#,urse; courir
"g93;jà,",urt : être
kiya,uteau
miya,uteau de jet
BS {,craindre; peur
£-bôdéro,crapaud
rong#,crépir
nS,crier
wolè,crinière
£-bèdé : Mh=k£-bèt#,criquet dévastateur
màr,crocodile
n1r,cuire
kül,cuire [la sauce longue]
bingi,cuisse
èFr,"cuit, à point : être"
ndà,cultiver
bàng+rà,cynocéphale
tàl,chacal
)j4mbàl,chameau
ndÿ,champ
dàlzm,champ en jachère
pa,"anson, chant"
küluü,1arbon
mal,1arognard
bàtü,at
mùlà,at sauvage
ngérs,1atouiller
nünga,Français :
Sb#,chauffer la base d'un arb
sàbàgù,chaussure
do-kéw,chauve-souris de maison
ndùy,chavirer
mbéy,chef
tàw,chenille (sans poils)
bâlèdé,chenille poilue
sâng#,chercher
künda,cheval
bi-dà,) cheveux
dd-kàw-künjé,cheville
bI ya,"chèvre, cabri"
ndéy,chicotte
bist,chien
mbérx : Mh=mbédx,choisir
né,chose
yèm,chose dégoutant
mè,dans
nè,danser
ét fi,chirer
kèné,dans
dégäà,hors
bàärà,main
baängz,mander l'argent emprunté
dè)i,"demander, poser (question)"
nd0c,démanger
när,démener; arracher
ngang#,dents
dûm,dépasser
"ddË,ngésx","déplacer, se"
j5gx,déranger
gir,derrière
ùr,descendre; entrer
B41 : Mh=641,"dessins, couleurs"
tüdu,"détacher, délier"
tüj1,détruire; abîmer
bängz,dette
j06,deux
n0,devant
tà,devant
njèng# : M=ndèng,diarrhée : avoir
Lüba,Dieu; Luwa (frère de Sou)
"dàngt, béd£",diffèrent; ailleurs
pà,re; parler
k51,"-sputer, palabrer"
15bS,-stribuer
ddgà,_X
ngon-j1,)igt
àr,donner
Bt,dormir; sommeil
bà-gir,dos
dégégé,doucement
ndo,douleurs prenatales
nd$é)1 : M=dfng#,droit
Kk31,droite
ngàng*,"dur, difficile : être"
ir,durer longtemps
man,"eau, de l'eau"
täl,éclabousser; sautiller
ndubu,éclater; vacarme
ngSy,écorce
£-màèma,écorce sec
tCédx,écraser
tèl,écraser (le foudre)
ùnjà : Mh=ndàng,écrire
ndàm,écureuil : esp. de
B5n,écureuil de Gambie
mbé1,échanger [qc]
igi,"echapper, se"
kèrs,éléphant
ù1,ever; nourrir
Ô9,pêcher; refuser
yèl,\poisonner
nj1ma,\prunter; prêter
gùügü,\ arrière
pi,\ vain
B£,"icore, plus"
1d,"droit, lieu; temps"
ndèm,"enduire d'huile, oïindre"
ngon,enfant
ùji,"enfanter, accoucher"
nim,enfiler
Èf : Mh=t{t,"enfler, s'enfler, gonfler"
tu,enfumer [qc]
£-ninga-b$1e : Mh=léw,engoulevent
9F,"enlever, retirer"
njè-bàa,ennemi
njèm,enrouler
binat,enrouler
nàa-g£,ensemble
nàa,ensemble : réciprocité
ndür : M=ndül,entasser
dübu,"enterrer, semer"
gügü,entourer
horo,"entre, parmi"
horo-gôl,entrejambe
büla,entrejambe
ànd#,entrer
ma Î : Mh=ma Î,vie de
ùl à,ivoyer
ndèr,ais : être
tôgi,ais (liquide) : être
Ci,">arpiller, écarter"
d3-bag#,aule
£-mbàylé-pele,KoN=yängàli
pipi,ilepsie
kün,Français :
tünga,"épuiser. finir, achever"
£-1àbà,escargot
Pèr,esclave
dùl,esp. d'antilope
sôrè,"essorer, tordre"
bI,essuyer
ném,"et, aussi"
nè,"et, mais"
"nàji,nèji","étaler, étendre (au soleil)"
i-disé,éternuement
£-ndèd£rèdé,étoile
to,être
àr,être debout
ndé,étudier; aprendre
s],excrément
béw-nd25,expert cultivateur
tà-kir,fagot
65,faim
da,faire
ndàw,ire griller à sec
ma Î : Mh=géi,ire le pique-assiette
to,"ire mal, faire souffrir"
ndù)j1,irine
kôr,itigue
£-mâr£m,iucille
jèné,femme
"gaji, riba",fendre
riya,"fendre, couper"
r1ba,fendre; déchirer
käy,fendre; diviser; partager
ngàw-lar,fer
ùdu : Mho=ût#,- Langues Sara
küdù,fesses
pèr,feu
bäénd#,filet
ngon,"fils, fille"
ndèy,filtrer
màg#,fille initiée
ndole,flétrir:se
püdu,fleur; fleurir
ba,fleuve
ùlà,"flotter, couler"
ùr : Mh=wûr,foie
méro,foin (pour les animaux)
1è8,fondre
"t6g#, kinga",)rce
küdu,)rêt
njè-kôr,)rgeron
mil,"rt:être (boisson, magie)"
njingiling,uiller
bàj à,urche d'arbre
"gàji,",urchu : être
£-tür,"fourmi, petite noire : esp."
tôodè,"fourmi, petite noire : esp."
£-éiya,fourmi rouge : esp. de
toy,"fourmi, rouge : esp."
njèrè,fourmilier
B#1,fourreau
bém,fourreau
p1l,foyer
"sôl, Kkül",- Langues Sara
tàf-tàf : M=sèe,fréquemment
ngo-ké,"frère, soeur"
Kkül,froid
Bè-dà-nd,front
ùsàû,frotter
ànd#,fructifier
kànd#,fruit
mésS ré,fruit pas mur
ày,"fuir, s'enfuir"
sà,fumée
ngàw : M=ngàw,"furoncle, bouton au visage"
;àbàw,future vie; au-delà
bitàngz,galago : esp. de
ngsm,garder [troupeau]
gè1 : Mh=gèl,gauche
tüwa,mir
dà-kàsi-ngang,ncives
tägE,nette
Bùrù,aner
ima,mbo
kü-ngaw,"gourde, esp. de"
gürû,gourdin
n3,goûter
mbôr-d3,grâce à
hàgÈà,"graillon, flegme"
Kko,"grain, germes"
ème,graisseux : être
bo : Mh=bôo,- Langues Sara
bùba,grand-frère
tÔgi : Mh=tôgi,grandir
kà,grandparent
ngé,gratter
k531,grêle
dàm,grenier
"gè, 1à",grenouille : esp. de
ndàngà : Mh=ndàng,gronder
bdyÿ,gros : être
güma,guêpe maçonne
àj)i,guérir; sauver
Cém,"gui, plante parasite"
Èfina,iche
kùy : Mh=kùYy,imeçon
dd-pél,"ingar (pour l'ombre, etc.)"
mèn)ji,iricot
tàf,"ut, en haut"
häya : Mh=haya,rbe : esp de
cCèmè,rbe : esp. de
"k1ro : Mh=tE#ro,tuüuro",herbe mauvaise : esp. de
mù,"herbe, paille; brousse"
ndüru,hérisson
ndùba : Mhb=ndiba,héritage
ngénjf,hernie
£-kSir,héron garde-boeufs
kÔwe,hibou
tàg£-nè : M=tàg£i-bè,- Langues Sara
àbà,hippopotame
kISE,houe
Übuü,huile
gènè-)06,huit
£-Bàg£là,hyène
nè : Mh=1àa,ici
mbé : Mh=BèdË,idiot
£-nguül,igname
ngàrd : Mh=ngàrwày,iguane
ù-,"il, elle"
£-,"ils, elles"
ndéit,imiter
"tula,süula",inciter au mal
küru,secte
téj1,isulter
sèimbàdà,itestins
Bär,iviter
ni,ilousie entre femmes;
sär,mais
j6,"jarre, canari"
m-,je
r5-1è1,"joie, félicité"
B$1,joue
ndam,jouer
nds : Mh=nds55,"jour, journée"
ndüngà,"jumeaux, jumelles"
säâr,jusque
£-mbd,"la grippe, la rhume"
kèn,là-bas
nû,là-bas (loin)
iyà,laisser
mbà,lait
àngà,lamantin; esprit de l'eau
Ùùrù,lancer un projectile sur
)i1à,"lancer, jeter"
ndo,langue
tàr,"langue, langage"
tâdz,large : être
bùdu-büdaù,large : être (chemin)
t6g0,laver
-é : Mh=-4,"le, la, lui (obj. de verbe)"
ton,cher
bänji,‘pre
g£-dé : Mh=k£-dé,quel
-jé : Mh=-dé,"ss, leur"
ndaf-tà,vre
ji,ane
yèàrx,ane : esp. de
kfya,ane : esp. de
gi-gindi,bellule
om,lièvre
"tôb),B31",lion
Cira,"lit, lit de boit"
èw,loin
£-kèléle,"lombric, ver de terre"
nga,long : être
9Y,lourd : être
k5m-ngàw,luciole
ndogé,luire; briller
nay,lune
mùl à,lutte
nja,magouste à queue blanche
it,main
bisi-nè,maintenant
njà-,maïs
kéy,maison
r5-t0,maladie
mèndè,iladie; infirmité
jingàw,ile
Kkül,inche
ùsà,inger
murg,inger (qc farineux)
0 : Mh=d0o,inger (qc mou)
g9y-ngirà,inioc
£-g5ng,mante religieuse
nàdi-né-ndoc,marché
njà,"marcher, se promener"
b5y,"marécage, étang"
£-bàÿlà,margouillat
ngàw : Mhb=ngàw,mari
bày : Mh=bày,FO
wà,marqueur d'interrogation
k5ré,marqueur de débarrassement
à,marqueur du futur
je,marqueur du pluriel : nom
g£,marqueur locatif
nd5$,matin. de bon matin
ùgù,maudire
-m,me (obj. de verbe)
"küma, kèma",médicament
wàst,melon
kära-bà,même
gé1l-tà,menton
ké,mère
mb$31 : Mh=mb5jx,mesurer
dsi,ttre en rang
ùbu,el
täy,1 pénicillaire
)5mrls,1 sauvage
wàa,"1, esp. de."
t#1-dÔg,Français :
£-Kkülül1ü,mille-pattes
mbàdi,"mince, svelte : être"
ùba,modeler
-m,"mon, ma (oblique)"
à],monter
dd$-i1{,- Langues Sara
t51,"montrer, expliquer"
t6,mordre
küy,mort
yo,mort; sorcerie
bit,mortier
kéw,mouche
£-Kk51,mouche tsé-tsé
yOm,mouillé : être
ùy,mourir
hühügü,mousse
f1,moustique
bàd#m,mouton
kàsà,mûr : être
godé,n'exister pas
àlè,iger
tuwa,itte : sorte de
gènè-kära,uf (9)
ùm,Z
may,er
ndùl,noir :être
£-d5ÿ,noix de karité
gérd,noix kola
r1,nom
k5r,nombre
ba,"nombreux, être"
küm,nombril
né-küsà,- Langues Sara
jà-,| [nous (nom.)
)-,nous (nom.)
-s4,nous (obj. de verbe)
-sf,"nous (oblique); notre, nos"
sigi,"nouveau, neuf"
ké,J | nouvelles
ngàw-ùr,noyau
i],"nuageux, noir : être"
kèm,oeil
kàw,oeufs
yèl,oiseau
£-ngàw-yo-àng,oiseau : drongo
n)jf1,ombre; esprit
nan,OS
ddgi-giré-kéra,Kul=ddgà-jà-hàré
mb1,eille
"singä, kingaäa",phelin
ir1,seille
dé : Mh=dé,Français :
àrkàs,ourébi
täâg#,ouvert
tè,ouvrir
häây,pagaie
1S1,pagayer
mép.,pain
màar-mângä,pangolin
kôro,panier (pour pêcher)
kàrè-bf,"panier, sorte de"
pändà1o,pantalons
kàgi,panthère
mbidi : Mh=mbete,papier; livre
mba,parce que
togé,pareil : être
nùj1,"parents, famille"
dàbà,paresse
tàr : M=tàa,parole
käy,partager
ddË,partir
àñg,"pas, ne ... pas"
yôlè : Mh=tùlo,passer sur le feu
bangàw,pe
dàb}là,ume
ndÔ0 : Mh=ndo06,iuvreté
ùga,yer
ng1ra,au
ndaf,"‘au, cuir"
mbàw,cheur
èn,pénétrer dans l'eau
bS rs,pénis
käg:-kün;à,perche pour cueillir
kèrt,perdrix
bS,père
mèr,perles
dèvw,personne
"nà, njé",petit :être
njé,"peu, un peu"
bèrs : Mh=bèr,phacochère
gdl,"pied, jambe"
gunm,piège
£-dér,"pigeon, tourterelle"
ùrù,piler
sèbè,piler (pour enlever le son)
gày : Mh=gdy,pilon
Èida,piment
ùgù,"pincer, gratter"
tènji,pintade
bày-sà,pipe
dsÈ : Mh=dsi,piquer
to : Mh=too,pirogue
kf13,"ace de, traces de"
kdwè,acenta
1à1] : Mh=nèl,aire
no,eurer
nj1,uie
bèT,plume
püsüû,poche
ûl-bo,pois de terre
té,poison
känji,poisson
kèm-déy,poisson : capitaine
yüwà,poisson :esp. de
"ké6,no-Kk6",poitrine
mbàrà,pomme cannelle
kônjôr,| pomme d'Adam
ndà : Mh=ndéa,pont
1 ya : Mh=yzwa,porc-épic
tà-déw,porte
ddo,porter
3,porter (des habit)
ùnda,poser à plat
ngisa,pou
kün)jé,poulet
mba,ur que
bà4-;jà3,ur rien
mba-df : Mh=kÈit5-df,urquoi
ndùm,urri : être
ùPà : Mh=Bà,usser
bu,ussière
dôngèr : M=dàsé,"premier, d'abord"
tà : M=tàa,prendre
üûn,prendre
tà,préparer la bouillie
drè,"presser, forcer"
tuüna,"prêter, emprunter"
gaäd#,prix
dèbà,proche
ùrù,"profond, être"
bI,profondeur
33i,proposer
njè,propriétaire
£65,propriétaire
to,puiser
buwä-man,puits
65r a,punaise des lits
wIi,pus
mäm a,python
s$,quatre
kàr,"que, pour que"
Bä,"que, qui"
ɗf,"1e, quoi"
kdwày,"iémander, solliciter (don)"
Bèngi,eue
né : Mh=néa,"ii, que"
ngirà,icines
ôd5,"ramasser, prendre"
àgi,ramper (un enfant)
àlè : Mh=àl,ramper (une plante)
bàa,rancune
gisa,"raser, se"
mbé : Mh=kä,- Langues Sara
läng#,rat :esp. de
£-nim,rat :esp. de
dég#,"rat, souris"
1à1,1 | rater; manquer
mbèrx,rayon de miel
"nd$i1,ndû;jt",redresser
èj1,\ | réfléchir
pé1,refroidir
mbäd£ : Mob=mbeté,refuser
dûsù,remplir
kor6,remuer
längi,remuer
"tüba, t5bx",renvoyer; chasser
èndà,répandre une odeur
njigi,‘pondre
"yà, nàngà",:sidu
kèw,spiration; repos; souffle
gèsà,ste
này,2ster
ndél,"veiller, se réveiller"
té.,Français :
n1,rêver; rêve
gàji-bèr£,rhinocéros
kGg+,rhumatisme
bàa,rien; vide; normale
sùgu,rincer
kôgo,rire
jàn,rival
màr,| | rônier
tàlT,rosée
dàji,". | roter, éructer"
kèsi-g£-kàsi,rouge : être
déw,"route, chemin"
béro,ruche
hàngàyà,rugueux : être
£-nàèngéira,sable
£-nàng£ra,sable
B$1 : Mh=B$1,sac
ningà-mbüsu,sagaiïe : sorte de
ningà,"sagaie, lance"
üwà,"saisir, prendre"
Bàr : M=Bèr,saison pluvieuse
nay-kàr,saison seche
yoré,ileté
yiro,"live, crachat"
bÜba,indale
mésx,ing
$-t5ndz,ingsue
n4y,uce
£-sîm,sauterelle
gèrs,"savoir, connaître"
ndàrè,scolopendre
i,scorpion
tüdù,sec : être
ày,sec : être (en surface)
ndoôgo,- Langues Sara
"yé : M=yée, vyékz",secouer
mbà,sein
kàd=,sel
jinga,semoule
gang+,separer
s1ri,sept
nàj1,"serment; honneur, justice"
11,serpent
ndûbù : Mh=ndùbà,"serpent, esp. de"
kér,sésame
"kär,gè-kàr","seul, tout seul"
C1b1,sève; glu
sé,si
tSbE : Mh=tow,_fflet
gàgi,lure : esp. de
Bèas,.nge
pèr,-roter
misé,.X
künda,if
kimà-tàgf,ir
kàr,soleil
léng#,somnoler
bina,son de mil
-é,"son, sa"
njè-mbe,sorcier
mùgay,sorgho
Cè,sortir
njè-mb1-küdu,sourd-muet
gé1,"sous, dessous"
gèr,spatule en bois
kàdà,stérilité
nj£B6t,sucer
il,sucer (enfant)
r11i,sucré : être
tèds,sueur; suer
dù,"sur, dans"
gàw-yà,tabac
mbäda : Mh=mbata,€
t$1l,1iller; affûter
gir-gàl,lon
màs#t,imarinier
dàlè,imbour
dàlè : M=dàli,imbour à deux faces
bolà,"imbour, grand"
tèmeé,mis
sàn,tamis : sorte de
dàl,tamiser
bin,tante paternelle
gér,tapioca blanc
i1,tarir
-1,te (acc. s.)
£-dongirod,termite : esp. de
wa : Mh=waa,termite ailé
yo,termite blanc
nàngi,"terre, sol"
dà-nàngi,terre; territoire
gèm,testicules
poro-käsx,tibia
püré-po,tiède : être
kàr,tige
£-m)vyà,tique
ndôr,tirer
"jôndo, bändx : M=dündo",toile d'araignée
dà-Bâr#,tombe
ds0o,mber
èr,mber (pluie)
-f,"on, ta; toi"
ngè1l : Mh=ngèl,>rche de paille
dügù,rdre; être courbé
mèy : M=mèe,Français :
9F,toucher
jâgà,"toujours, souvent"
büré,tourbillon
nduf,"tourner, se"
bri,"tournoyer, secouer"
téy,tous
késx,tousser
ôrè : Mh=mbüro,traire; presser avec main
àd#,tranchant : être
külà,travail
dSré,traverser
ndày,"traverser, passer"
isà,trembler
ytl,tremper
d3-mündé,trente
ùj1,tresser (le secco)
mündä,trois
j1-ùm,trompe (éléphant)
büwé,trou
mbüdù : Mhb=mbètà,"jouer; percé, être"
ingà,-ouver
Bà,ouver par terre
#-,1; vous
t35],ler
kinga,iteurs
kära,Français :
èrs,urine
ngir,vagin
kèe,"van, panier pour vanner"
"ngèm, ùlà","vanter, se"
kündu,vapeur
büru,varan
dàbz,vendre
dè,venir
],venir de; se lever
1él : Mh=nél,vent
tà-ùr,ventre
mddà,"verge, pénis"
ndusu,vermoulu : être
gE,vers
mbé1,verser
Üùm : Mhb=ùu,verser
ndûsu : M=ndùst,verser pour décanter
kubu,vêtement
büga,vieillard
ddgi-106,ngt
géngs,siter
15,"_squeux, gluante"
gi-tégé : M=ndéré,te
0,ir
njè-bàtà-kéy,Kul=ni-dàrüu
ndu,voix
Bègà : M=bôgE,voler
tome : Mh=tom,vomir
njigi,vouloir
-s1,üù | vous (acc.)
-sèy,vous (oblique); votre
mba,"voyage; hôte, invité"
£-njil,"youyou, faire"
