bediondo,français
mbs 1 : Do=mbol,frais; mouillé : être
ngo-ké,"frère, soeur"
kuüul : Do=kul,froid
nàti-nù,front
ùsà,frotter
ànd#,fructifier
kànd#,fruit
ày,"fuir, s'enfuir"
sà,fumée
ngàw,"furoncle, bouton au visage"
ko06,future vie; au-delà
bàtàng#,galago : esp. de
ngsm,garder [troupeau]
gè1,gauche
tims,mir
yidà,ncives
tag+,nette
kol,rafe
fù,aner
y£ms,mbo
gàl,"gourde, esp. de"
gè1,gourdin
na,goûter
tà-Kkül,grâce à
Kko,"grain, germes"
èmè,graisseux : être
tôgi,grandir
kà,grandparent
ùy,gratter
k5s#,grêle
dàm,grenier
ndàngà,gronder
b0,gros : être
"dängä,dang#",grue couronnée
gûms,guêpe maçonne
àji,guérir; sauver
tém,"gui, plante parasite"
k£ngs,iche
kûy,imeçon
jàngilà,"ingar (pour l'ombre, etc.)"
mÈènjà,iricot
tàé,"ut, en haut"
tone,herbe mauvaise : esp. de
màù : Do=mû,"herbe, paille; brousse"
ndür,hérisson
ngén)#,hernie
£-k5w,héron garde-boeufs
kdY,hibou
tàg£-nè,hier
yàbà,hippopotame
kèsi,houe
Èib# : Do=yüb,huile
)1-j06,huit
r£égèm,hyène
nè,ici
$£-ngüûl,igname
ngàrèm,iguane
ù-,"il, elle"
d-,"ils, elles"
ndàâj#,imiter
suls,inciter au mal
sol,iquiété : être
küûûü,secte
n)£bs,secte : cantharide
tà4j#,isulter
tit,itestins
ni,ilousie entre femmes;
f-ngd6,"jarre, canari"
m-,je
mbé,joue
kôgE,jouer
nds,"jour, journée"
ndèngè,"jumeaux, jumelles"
b£té,jusque
nd6,là-bas
nû,là-bas (loin)
kyè,laisser
mbà,lait
ùr,lancer un projectile sur
i15,"lancer, jeter"
ndèn,langue
tà,"langue, langage"
tât#,large : être
téôgx,laver
-é,"le, la, lui (obj. de verbe)"
t5n: Dhb=ton,cher
bänix,‘pre
k£-ré,quel
-dé,"ss, leur"
b£ndifi,bellule
dîtigqüm,lièvre
"sày, séy",loin
ngé-si-sèlèlè,"lombric, ver de terre"
ngal,long : être
pé£t#,louer; féliciter
3ÿ : Do=dÿ,lourd : être
£-ndoy-dé,luciole
ndéle,luire; briller
nay,lune
milè,lutte
r5,"lutter, se battre; guerre"
nja,magouste à queue blanche
èng#,maigre : être
)1,main
Pàsénè,maintenant
£-b$1£mté,maïs
kéy,maison
moy,maladie
mètà,iladie; infirmité
dingèm,ile
kül,inche
ùsÔ,inger
0,inger (qc mou)
ngàli,inioc
$-g5ngx,mante religieuse
sûk#,marché
nj+ys,"marcher, se promener"
béylà,margouillat
ngàw,mari
bày,"marmite, petit"
à,marqueur d'interrogation
k5$,marqueur de débarrassement
à,marqueur du futur
je: Do=ge,marqueur du pluriel : nom
-1,marqueur du pluriel : verbe
t£:Dh=ti,marqueur locatif
si,matin. de bon matin
man,maudire
-màajài,mauvais : être
-m,me (obj. de verbe)
däwa,médicament
wàst,melon
gôn,menton
ké,mère
mb5)j#,mesurer
Ôs#,ttre en rang
tèji,el
s6-t#,"eux, être mieux"
tsy,1 pénicillaire
wa : Do=wàa,"1, esp. de."
dib#,lle
mbàtà,"mince, svelte : être"
ibs,modeler
m1 : Do=ma,moi (forme indépendant)
-mM,"mon, ma (oblique)"
à] : Dh=àT,monter
-d1i,monticule; termitière
t53x,montrer
3jà,"montrer, expliquer"
dà,mordre
kdy,mort
yo,mort; sorcerie
bèr,mortier
kéng#,mouche
yom,mouillé : être
dy,mourir
külüm,mousse
y#1,moustique
bàt#,mouton
mbù),mûr : être
gèté,n'exister pas
àlè,iger
päl,itte : sorte de
tüws,itte : sorte de
ût£:Dbh=6t#,> faut pas
j1-kâre,uf (9)
èm,Z
ma)jx,er
ndùl,noir :être
£-r5y:Gor-d5ÿ,noix de karité
géro,noix kola
t5 : Dhb=t5,nom
k5r : Do=k5r,nombre
bày,"nombreux, être"
küm,nombril
né-kùsû,nourriture
j- : Dh=;-,nous (nom.)
-jè,nous (obj. de verbe)
sègà,"nouveau, neuf"
pôÿ,J | nouvelles
gum,noyau
il,"nuageux, noir : être"
d+b#,"nuit, sombre : être"
go,nuque
kèm,oeil
kàw,oeufs
yèl,oiseau
dängt,oiseau : drongo
nd£$l,ombre; esprit
nan,oncle maternel
mb1 : Do=mbt,eille
s?ngs,phelin
ré,seille
wal,ourébi
tâgiré,ouvert
tèe,ouvrir
kàây,pagaie
151,pagayer
mépà,pain
màarmängä,pangolin
kàrè,"panier, sorte de"
njala,pantalons
kàgà,panthère
mbste,papier; livre
£-14-bè8,papillon
tà-d5,parce que
tsk£,pareil : être
n0)#,"parents, famille"
dàbà,paresse
tà,parole
gaya,partager
ÔtÀ,partir
à {,"pas, ne ... pas"
yolè,passer sur le feu
bangàw,patate douce
dà-j1,ume
ndoo,iuvreté
ègs : Do=ùba,yer
ngzxrs,au
ndaà,"‘au, cuir"
mbàw,cheur
èn,pénétrer dans l'eau
bsr,pénis
bàiw,père
mèdi,perles
dèw,personne
duû,petit :être
j41 : Do=i,"peu, un peu"
bèr,phacochère
njà,"pied, jambe"
gum,piège
dé,"pigeon, tourterelle"
sèbà,piler (pour enlever le son)
goy,pilon
dûgà,piment
mène,"pincer, gratter"
tànji,pintade
td6,pipe
dsi : Dh=3s,piquer
tüug#,piquer
to,pirogue
té,"ace de, traces de"
kày,acenta
do,"aie, blessure"
nèl : Do=nèl,aire
n0,eurer
nd1,uie
bèl : Do=bèl,plume
biI,poil
wûl,pois de terre
kèngi,poison
känjx,poisson
kèsèngà,poisson : capitaine
dS Î,poisson :esp. de
gü : Do=bà,poitrine
bdb£r5-m£ndz,pomme cannelle
£-gùÎ,| pomme d'Adam
bäbirà,pont
+ys,porc-épic
Ôt#,porter
95,porter (des habit)
inds,poser à plat
ng£s5,pou
kinjé,poulet
tàds,ur; à cause de
d5-rfi,urquoi
ndûm,urri : être
bàäbür,ussière
bü : Do=bü,ussière
ddà-séy,"premier, d'abord"
tàa,prendre
ûn,prendre
tà,préparer la bouillie
oôrè,"presser, forcer"
t5no,"prêter, emprunter"
gat#+,prix
bàsi,proche
ù,"profond, être"
njè,propriétaire
£ba,propriétaire
bôlè-maànñ,puits
£-Bômo,punaise des lits
wüy,pus
mam,python
10-k#,quand
s$,quatre
kàd#,"que, pour que"
rf,"1e, quoi"
k3y,"iémander, solliciter (don)"
mdng,eue
né,"ii, que"
mbé,"ramasser, prendre"
àgà,ramper (un enfant)
àlè,ramper (une plante)
bàa,rancune
ngèiss5,"raser, se"
y£ngs,rasoir
ndan,"rassasié, être"
käw,rassembler
nèm,rat :esp. de
yégz,"rat, souris"
nàl : Do=nàl,1 | rater; manquer
nag£,rattraper
mbàa,rayon de miel
ndéj#,redresser
1:ys,refroidir
mbat#,refuser
rèsà,remplir
koré,remuer
tüuwo,renvoyer; chasser
ètà: Dbh=ôt,répandre une odeur
ndig,‘pondre
bèisx,:sidu
kèS,spiration; repos; souffle
g4,ste
này,2ster
ndél,"veiller, se réveiller"
tél,"venir, rentrer; tourner"
n1,rêver; rêve
bèn,rhinocéros
kagx,rhumatisme
sûk£,rincer
kôg#,rire
jàngà,rival
mà,| | rônier
tàl : Do=tàl,rosée
dài},". | roter, éructer"
Kkèr,rouge : être
rébx,"route, chemin"
rébe,ruche
561,sac
gàgi,sagaiïe : sorte de
nèngè,"sagaie, lance"
ûwè,"saisir, prendre"
Pà : Do=bèr,saison pluvieuse
näy-kàdi,saison seche
Bèbi,ileté
mésx,ing
£-tsndx,ingsue
ànjz,ins
téy,uce
bàl,saut
gès,"savoir, connaître"
ndànè,scolopendre
£-ni,scorpion
tûti,sec : être
àÿ,sec : être (en surface)
"mbog#,",secko
mbà,sein
kàt#,sel
j)#ngs,semoule
gangx,separer
s#ri,sept
11 : Dbh=1,serpent
ké,sésame
kâr,"seul, tout seul"
sé,si
ndèl,lure : esp. de
gàgi,lure : esp. de
bèt#,.nge
mèhé,.X
kinds,if
kàdi,soleil
kàl,solitude
tèil,"sombre, nuit"
bins,son de mil
è,"son, sa"
kèims,sorcier
99j?,sorgho
j#g,souche
gén,"sous, dessous"
gès,spatule en bois
kùjà,stérilité
nj£bz,sucer
ning#,sucer
È1,sucer (enfant)
léndz,sucré : être
tètz,sueur; suer
dà,"sur, dans"
dà-bü-b+ys,tabac
k:mbor,tabouret
g£édz,lon
màs+,imarinier
k9di,imbour
dàlè,imbour à deux faces
gäng#,"imbour, grand"
tème,mis
yètè,tamis : sorte de
sàñ : Do=kire,tamis : sorte de
bèn,tante paternelle
gé,tapioca blanc
\i1,tarir
-1: Do=-1,te (acc. s.)
ngèrè,tendons (de viande)
wa,termite ailé
y0,termite blanc
nàngi,"terre, sol"
dà-nàngi,terre; territoire
gèm,testicules
d5,tête
-käst,tibia
käd#,tige
mèyè,tique
ndér,tirer
jônde,toile d'araignée
bédx,tombe
Ôs#,mber
èdi,mber (pluie)
-1,"on, ta; toi"
ngèl,>rche de paille
rûgà,rdre; être courbé
mèy,>rtue : esp. de
bél,tortue : esp. de
5dà : Do=3d,toucher
ngändäng#,"toujours, souvent"
là4y,tous
kést,tousser
mbôre,traire; presser avec main
àtà,tranchant : être
kÈlè,travail
dS : Gor-dsr,"traverser, passer"
dàd#,trembler
y#l,tremper
pét#,tresser
d)j#,tresser (le secco)
mité,trois
lôndi,trompe (éléphant)
Be,trou
bôlè,trou
mbètà,"jouer; percé, être"
èngè,-ouver
Pàa,ouver par terre
#-,1; vous
t51,ler
kâre,"1, une"
kèd£-maàn,urine
mûdà,vagin
kèe,"van, panier pour vanner"
béjz,"vanter, se"
künj£:Gor-=kûnj#,vapeur
bür,varan
làb#,vendre
rèe,venir
i,venir de; se lever
nél,vent
mèe,ventre
mdtà,"verge, pénis"
ndus+,vermoulu : être
Kk#,vers
mbél,verser
ndist,verser pour décanter
k+b#,vêtement
da,viande
b£gs,vieillard
g6,eux
be : Dh=be,llage
g09,siter
ndà1l,"_squeux, gluante"
1äw,te
Ô0,ir
màdx-Pe,)isin
ndu,voix
Bôgà,voler
t5mo,vomir
gè,vouloir
-sf,vous (oblique); votre
mba : Do=mba,"voyage; hôte, invité"
£-ndx,"youyou, faire"
£-sind£,zorille
