kaba,français
sÏ : Kul=yûsôn :,"peu, un peu"
bÆ® :,phacochère
gîl : Kul=njà :,"pied, jambe"
»-mb¼rŸ,piège
dÉr :,"pigeon, tourterelle"
sùwä,piler (pour enlever le son)
gòy :,pilon
jál,piment
ùkù :,"pincer, gratter"
tànjì :,pintade
‡-tùrú :,pipe
îsÕ :,piquer
tò :,pirogue
túrü,"ace de, traces de"
kîyî :,acenta
dò : Kul=dìyò :,"aie, blessure"
nè£,aire
nç : Kul=nû,eurer
njï : Kul=yä :,uie
bÆ£ :,plume
b¡¬ :,poil
wúl-bò,pois de terre
känj¸ : Kul=hänjë,poisson
‡-gámásä :,poisson : capitaine
nÅ-gú :,poitrine
mbî® :,pomme cannelle
ndá :,pont
yä,porc-épic
tà-kÉy : Kul=tà-bïtí,porte
òtö :,porter
îû,porter (des habit)
"kîû,",porter [habits]
ùndä,poser à plat p
ngísä :,pou
künjá : Kul=künjá,poulet p
kÕ-tà :,ur que
njà-bè,ur rien
mbä-tà-÷í,urquoi
ndùm :,urri : être
ùßà :,usser
búm :,ussière
dîngîr,"premier, d'abord"
tàä :,prendre
ùn,prendre
tá,préparer la bouillie
tünä :,"prêter, emprunter"
"gät¸, nàrè",prix
tàr :,problème
ngîr-sƒ :,proche
ùrù :,"profond, être"
njè,propriétaire
ßæÉ :,propriétaire
îrù :,puiser
büwá-màñ,puits
‡-ßî-ßûr :,punaise des lits
wï :,pus
màm :,python
tökó,quand
sô : Kul=sîô :,quatre
kà®,"que, pour que"
ßá :,"que, qui"
k‡ :,"e, qui, ce que, ce qui"
÷í,"e, quoi"
kîy,"émander, solliciter (don)"
ßòng :,eue
k‡,"i, que"
nª :,i?
îy,"ramasser, prendre"
àkÕ : Kul=àlà :,ramper (un enfant)
àlè :,ramper (une plante)
b¼º :,rancune
ngìsä :,"raser, se"
yíngä :,rasoir
ndän :,"rassasié, être"
mbç,rassembler
yék¸ : Kul=k¨ßŠ,"rat, souris"
là£ :,rater; manquer
Æjï :,réfléchir
mbæt‡,refuser r
÷ùsù,remplir
köró :,remuer
tübä r,renvoyer; chasser
ÆtÕ :,répandre une odeur
njìkì :,pondre
s¡y¼ :,sidu
kÆm :,spiration; repos; souffle
n¼y,ster
ndól :,"veiller, se réveiller"
tél : Kul=ndélè :,Français
n¬ :,rêver; rêve
bàä :,rien; vide; normale
sùkü,rincer
kòkö,rire
jàng :,rival
màr :,rônier
tàl :,rosée
dùjù :,"roter, éructer"
kàsè : Kul=àkè,rouge : être
÷ó : Kul=÷óvò,"route, chemin"
róbö,ruche
ngÆndÕrÆ :,rugueux : être
‡-náng‡rá,sable
ßôl,sac
nìngà :,"sagaie, lance"
ùwà :,"saisir, prendre"
ßàr :,saison pluvieuse
nþy-kàr :,saison seche
yæró,leté
wÐrð :,"live, crachat"
mÉs¸,ng
‡-tænd¸ :,ngsue
nªy : Kul=tárò :,uce
‡-gàbÕrà,sauterelle
gÆ® : Kul=g™Š :,"savoir, connaître"
‡-níì :,scorpion
tùtù :,sec : être
àÿ :,sec : être (en surface)
ndòkö : Kul=dòbö,Langues Sara
yék¸,secouer
mbà :,sein
kàt¸,sel
jíngä :,semoule
gäng,separer
sïrí :,sept
lï : Kul=yö :,serpent
kÉr :,sésame
kÕ-kár :,"seul, tout seul"
sé,si
ßÆt¸,nge
m¡sª : Kul=tíkïrä,x
kùndä :,if
kàr : Kul=hàjà :,soleil
tìl,"sombre, nuit"
‡-ßÆñg,son de mil
-é,"son, sa"
kùmä,sorcier
mîkôy,sorgho
tèë,sortir
jïk¸,souche
gÉl :,"sous, dessous"
gÆ® :,spatule en bois
ìl t,sucer (enfant)
rí :,sucré : être t
tÆt¸ :,sueur; suer
dî : Kul=tà»-jî :,"sur, dans t"
máñg :,tabac
mbätä,tabouret t
tôl :,iller; affûter
màs¸ :,marinier
dàlè :,mbour
bïr¸m,mbour à deux faces
gáñg :,"mbour, grand"
bàn : Kul=vènü :,tante paternelle
ìï :,tarir
-ï : Kul=kï :,te (acc. s.)
ngìrà,Langues Sara
wº,termite ailé
yç,termite blanc
nàng,"terre, sol"
dî-nàng :,terre; territoire
gÆm :,testicules
dî : Kul=jî :,tête
nÅ-gîl :,tibia t
kár¸ :,tige
m¡y¼,tique
ndô®,tirer
gìndö,toile d'araignée
dî-bá® :,tombe t
òsö : Kul=ìsö :,mber
Ær : Kul=àrì :,mber (pluie)
-í : Kul=y¨ :,"n, ta; toi"
ngÆ£,rche de paille
÷ùkù :,rdre; être courbé
mÐy :,Français
îrù :,toucher
tÇy,tous
kÉs¸ :,tousser
mbôrë,traire; presser avec main
àtÕ,tranchant : être
kùlà,travail
gäng :,"traverser, passer"
ìsà :,trembler
yöm :,tremper
dî-mùtá : Kul=kóò,trente
pétë :,tresser t
ùjü :,tresser (le secco)
mùtá,trois
büwá t,trou
mbùtù : Kul=mbùtì,"ouer; percé, être"
ìngà,ouver
ßàä,ouver par terre
¸-,; vous
tûl : Kul=tûlë :,er
sìngä,teurs
kárä,Français
èr¸ :,urine
ngïrï :,vagin
kèë : Kul=kèë :,"van, panier pour vanner"
ngÆm :,"vanter, se"
bürü,varan
làb¸ :,vendre
÷èë : Kul=àvö :,venir
¡ :,venir de; se lever
yél :,vent
wùr :,ventre
mîtÕ :,"verge, pénis"
ndüsü :,vermoulu : être
k¸ :,vers v
ùngü :,verser v
ùngü,verser
kübü,vêtement
ßúkä :,vieillard
ßúkä :,eux
ßë :,llage
dî-jöó,ngt
gÅç,siter
wà :,"squeux, gluante"
njàng,te
òö : Kul=ùwà :,ir
njè-mbôr-kÉy,Français
ndü :,voix
ßòkò,voler
tömö,vomir
njìkì : Kul=dúrù,vouloir
-sé,ü vous (acc.)
-sé : Kul=sé :,vous (oblique); votre
mbä : Kul=mbä :,"voyage; hôte, invité"
‡-njï• :,"youyou, faire"
tú® :,absence
dän :,accompany
gö :,"after, behind"
nÅ,ahead of
árgè :,alcoholic drink
kÕ-kár :,Sara Languages
tÇy,all
hör :,among
ngà : Kul=vï :,"and, but"
üngü,anger
dä : Kul=jä :,animal a
mbær,"announcement, public"
njìkì :,"answer, reply : to"
tƒyº,ant : red
túr :,ant : small black
njàrè,teater : type of
dùl,telope : duiker
nàs¸,telope : roan
nàjï :,argue about : to
kûl :,argue with : to
mîtÕ-sôl :,armpit
tèë :,arrive : to
gös¸ :,"artist, expert"
bü,ash
ndùjù : Kul=jí÷yö,ask : to
mbçÇ,assemble : to
bàn : Kul=vènü :,aunt (paternal)
ràng :,"away,off"
tínä :,axe
bàngÕràng :,baboon
gìr,back
gùkú :,backwards b
ngá-bùwà,bachelor b
mànjàÑg,bad : to be
ßôl,bag
ngôy,"rk (of tree), dry"
kàrè :,sket : large
kèë : Kul=kèë :,sket (for winnowing)
döw :,t : type of
ndòkö :,the : to
tö,: to
tökú :,English –
mÆr,beads
mùnjù : Kul=mònjò,beans
ànd¸ :,bear fruit : to
mbäý :,beard
mbä-tà-,because
tïrä :,bed
‡-ßî-ßûr :,bedbug
tèjì,bee; honey
róbö,beehive
bíl-bìl :,beer : millet
b¡y¼ :,ò bees (live in ground)
kété,before
tà :,before
kîy,beg for : to
gìr :,behind
küm :,belly button
sót‡,b
"ndæw, bò : Kul=kókò",g : to be
Æ£ : Kul=kólë :,rd
tÇ :,te : to
àt¸ :,tter : to be
ndùl : Kul=ìtì,ack : to be
kîrü :,acksmith
njè-kùm-tû,blind person
njè-kùm-tû :,blind person (from birth)
pólë :,blister
mÉs¸,blood
bÆ® :,boar
ngÆm :,boast : to
rû : Kul=yû :,body
lëk‡ :,boil : to
sïngä : Kul=…ûngû,bone
jûkü :,bother : to
kóndörö,bow and arrow
bày,bowl : small clay
‡-ßÆñg,bran
mbæ :,bread
tètÕ,break : to
tû :,break : to
mbà :,breast
kÆm :,breath; rest
ndá :,bridge b
ngìsä :,oom
sáj¸,other-in-law
ùßà :,"d, grow : to"
dîkù,ffalo
Å,rn : to
dùjù :,rp
dùbü,"bury, plant : to"
kám : Kul=hámvà :,"bush, leaf"
ømº,butterfly
kùtù,buttocks
rû,"by, near"
ßär :,call : to
jámbàl :,camel
jï,capsize : to
òtö :,carry : to
ngàlì : Kul=ngàlè,cassava
bàtú,cat
ùwà :,"catch, seize : to"
tàÛ c,caterpillar : hairless
güjä,"civet, african"
ánjï,ay : black
à® :,"ear, clean : to be"
à£ : Kul=àlö :,"imb, go up : to"
ngïr :,itoris
ùtü :,ose : to
ngìsæ,closely
kübü,clothes
gùrù :,club
yël,coals of fire
kül :,cold
»-mbîkÕ,"cold, flu"
÷èë : Kul=àvö :,come : to
Ær : Kul=àrì :,come down : to
¡ :,come from; get up : to
wál,"congratulate, praise : to"
gôl :,console; rock : to
njïrï,cook : to
kúl,cook sauce : to
Æ® :,cooked enough : to be
wù£ :,cool : to be c
bùlà,"coop, pen"
‡-ndá-kìrí :,corn
nïÑ :,corpse
bƒ :,cotton
kÉs¸ :,cough : to
tûj¸,unsel : to
túrä,unt : to
m“-ø :,untryside
njïngä :,vet : to
màñg,w : cattle
àkÕ : Kul=àlà :,crawl
màr,crocodile
gäng :,cross : to
mbä :,crotch
‡-g¼ª,crow
ùßä :,"crowd, crowd about : to"
gúrü :,Sara Languages
kùsú,cucumber
àjì :,cure : to
ùjà :,cut : to
dò : Kul=dìyò :,"cut, sore"
‡-lïyä-hôy :,chameleon
kúl :,charcoal
ßôl :,cheek
nÅ-gú :,chest
künjá : Kul=künjá,icken
mbáy : Kul=kông™,ief
ngön,ild
ndö :,ildbirth
gÉl-tà :,"in, jaw"
mbÉr¸,oose : to
túkä :,chop : to
ndäm,dance
ndùl :,dark : to be
ìl :,"dark, cloudy : to be"
tìl,dark; invisibleness
ndû :,day
kòy :,death
yò,death; magic
ßäng,debt
ùrù :,deep : to be
mºy,deny : to
÷ìsì,descend : to
tújü,"destroy, ruin : to"
tàl :,dew
òy :,die : to
dáng d,different
ùrù :,dig : to
yæró,dirtiness
kºy,vide among : to
÷ä : Kul=tá¯ :,: to
bísï,g
kòrörö,nkey
tà-kÉy : Kul=tà-bïtí,or
dÉr :,"dove, pigeon"
n¬ :,dream
àÿ :,drink : to
kötö :,drink (alcoholic)
dàlè :,drum
gáñg :,drum : type of
bïr¸m,drum : type of
tùtù :,dry : to be
àÿ :,dry : to be
ìï :,"dry : up, to"
nàjì,dry in the sun : to
nþy-kàr :,dry season
‡-ndäb‡ :,duck
búm :,dust
mbï : Kul=mvï :,ear
ùsà : Kul=ùsà :,t : to
Å : Kul=î…î,t (boule) : to
kàw : Kul=hàßè :,g
dùndáy,gplant
‡-kæw :,ret
jï-jöó : Kul=sàlënjä,ght
kÕ-kíl-jï,elbow
kÆ®,elephant
dîkÆ-rë-kárä,eleven
gükü :,"encircle, go around : to"
njè-kÆm-b¼º,enemy
àsÕ : Kul=àsà :,enough for : to be
ànd¸ : Kul=häyé,enter
s¡ :,excrement
mbÉl,exchange : to
ndübü :,explode : to
kÆm :,eye
òsö : Kul=ìsö :,fall : to
æw :,faraway
ndîû,"farm, plant : to"
bÕrà-kîsÕ :,"farmer, master"
bò :,fat : to be f
bî : Kul=vìyà,ther
rû-kùtä :,tigue
ßæ• :,ar; to fear
bÆ£ :,ather
îrù :,tch [water] : to
"tà-ndîû,ndîû : Kul=màgì",eld
÷û :,ght : to
ndèë :,filter : to
÷ùsù,fill : to
ìngà,find : to
ßàä,find on ground : to
ngön-jï :,finger
tùngä :,finished : to be
pùrù : Kul=fàrù :,fire
tà-kïr : Kul=këy,firewood
dîngîr,first
ßá :,first
dÆ®,firstborn child f
känj¸ : Kul=hänjë,fish f
‡-gámásä :,fish : Lates niloticus
mbàw,fisherman
kìÿ :,shhook
mƒ : Kul=mìí :,ve
ngísä :,ea
¼ÿ :,ee : to
ndùjü :,our
pútü,flower : to
làl,flute
kÉm :,fly
mù»,fog
né :,food
mùrü,food (main dish for Saras
gîl : Kul=njà :,"foot, leg"
mbä-tàr :,for
nÅ,forehead
kù :,forest
b¼ :,forked : to be
sô : Kul=sîô :,four
näm : Kul=tà-hàßë,friend g
kànd¸ g,fruit
ndän :,full : to be
bùtäng¸ :,galago : type of
îy,ther : to
täk¸ :,net
màk¸,rl being initiated
à® : Kul=ìtö :,ve
ùjù :,ve birth to : to
tƒyº,English –
àÛ : Kul=àßë :,go : to
ùrù :,go down; enter : to
tèë,go out : to
b¬yº : Kul=vï…ä,goat
bàl :,"goat, billygoat"
Lúbä :,God; Luwa (brother of Su)
màjì :,good : to be
‡-ngó : Kul=hárü,gourd
gà£ :,gourd : type of
kärämbë,gourd used as spoon
jíngä :,grain : crushed
dàm :,granary
kà : Kul=hàhä :,grandparent
ndòkö : Kul=dòbö,grass fencing
m“ : Kul=ùmù :,"grass, straw g"
‡-gàbÕrà,grasshopper
èmè,greasy : to be
dî-nàng :,ound
nàng,"ound, earth"
wúl-bò,oundnuts
àlè :,ow on ground (plants) : to
tîkÕ,"ow up, get big : to"
mbüsü :,"ow, stuff into, step on :"
tànjì :,guinea fowl
wà :,"gummy, slimy : to be"
kûjï,hail
b¡¬-dî :,hair
b¡¬ :,"hair, body hair"
jï : Kul=jïnï :,hand
kúrä : Kul=nàpà,handsome : to be
rû-nè£,"happiness, joy"
ngÆñg :,"hard, difficult : to be"
üm,hare
kîndè,harp
b¼º :,"hatred, rancor"
ndà£ :,have sex with : to
µ- : Kul=nì h,"he, she"
dî : Kul=jî :,head
òö :,hear : to
pïl,hearthstone
îÿ,heavy h
ndúrü :,dgehog
ngæm :,rd : to
nèÑ :,re
yírï :,biscus
ngïrä :,English –
ìyä :,hide; set a trap : to
-é,"him, her"
hàbÕ,hippopotamus
-é,"his, her"
ùndà : Kul=ìfï :,hit : to
kîsÕ,hoe
büwá,hole
ùbü-tèjì :,honey
gàjì,horn : animal
súndä : Kul=súndä,horse
túngä :,hot : to be
jál h,hot pepper h
kÉy : Kul=háØ :,house
kánd‡ :,how much
tökú-bàÑ :,how?
dî-dîkÕ :,hundred
ßö :,hunger
tö,rt : to
ngàw,sband
«- : Kul=m- :,ena
sé,iot
bürü,iguana
ndájï :,imitate : to
mŸ : Kul=hàm :,in
kÕ-tà :,"in order to, to"
dîngîr-é :,in the past
pƒ,in vain
mÆtÕ,injury
kùrü,insect
kÆt‡ :,inside
tájï :,insult : to
jÆ,intestines
ndÅç k,"itch, to; to be itchy"
n¡ :,jealousy between co-wives
‡-÷ûý,karite tree
tûl : Kul=tûlë :,ll : to
ngæw,ndling : firewood
kìyä,ife
m¡yº :,ife : throwing
gÆ® : Kul=g™Š :,English –
górò,kola nut
tàr :,language; speech
kál-nè :,last year
kòkö,laugh : to
dàbÕ :,laziness
