mbay,français
bènda,"urber, plier"
rüwa,urgette : petite
gdji,urt : être
mi ya,Français :
t£6o,couvercle du grenier
t1iw,"cracher; crache, salive"
65i,craindre; peur
kàr,crapaud
d0,crépir
ùr,creuser
w 1 y,cri d'alarme des femmes
kGo,crier
ndir,cuire
gàr,cuisine
bing,cuisse
èdz,"cuit, à point : être"
nd35,cultiver
tàl,chacal
jämbaàl,chameau
k5r,champ
gäw,champ en jachère
bèe,champignon
paa,"anson, chant"
k$1,asse; dieu de la chasse
s$k#,asser dehors
kÎte,1atouiller
tfnga,Français :
dù,chauffer la base d'un arb
säa,chaussure
ng33,chauve : être
tài,chenille (sans poils)
n)jüûwà,chenille poilue
säng,chercher
sindé,cheval
bist-d5,) cheveux
kùr-k66-njà,cheville
b1 ya,"chèvre, cabri"
ndé,chicotte
bis£,chien
yéa,chose
vyèr,chose dégoutant
kàn,dans
10,danser
tii,chirer
tité,dans
l1d0-t1i,main
bäng,mander l'argent emprunté
ndi)jè,"demander, poser (question)"
nd00,démanger
ngang,dents
ndétz,"déplacer, se"
rètà,déplumer
gidi,derrière
disi,descendre
ùdi,descendre; entrer
"nûjé,tüjé",détruire; abîmer
)06,deux
n9,devant
tà,devant
sùngéo,devinette
Lüwa,Dieu; Luwa (frère de Sou)
àn,re; marqueur de convers
è1,re; parler
nàj#,"-sputer, quereller"
]1üwo,-stribuer
kÈlé,_X
k£-ngon-)1,)igt
àd#,donner
6ti,dormir; sommeil
gidi,dos
)jén,doucement
mä +,douter
säm,"droit, tout"
ngàng,"dur, difficile : être"
ii,durer longtemps
màn,"eau, de l'eau"
t4l,éclabousser; sautiller
nduu,éclater; vacarme
ng$y,écorce
dûüd#,écraser
tèl,écraser (le foudre)
B5n,écureuil de Gambie
igi,"echapper, se"
kèdE,éléphant
dg#,pêcher; refuser
dm,\poisonner
ndtma,\prunter; prêter
gèg£,\ arrière
sété,\ vain
t35,"icore, plus"
ngon,enfant
djà,"enfanter, accoucher"
sür,enfiler
tegé,enlever avec les mains
dF,"enlever, retirer"
màdz-bàa,ennemi
bir,enrouler
nàa-t#,ensemble
00,"entendre, écouter"
güugt,entourer
mbèna,"entre, parmi"
gèla,entrejambe
bér,entrejambe
là,ivoyer
ndèr,ais : être
tri,">arpiller, écarter"
k£-sd1I,KoN=yängàli
Kk{T,ilepsie
kSn,Français :
trga,"épuiser. finir, achever"
1àp}à,escargot
buro,espace entre [qc]
rüngo,"esquiver, s'esquiver"
tuf,"essorer, tordre"
ho,"et, aussi"
nà,"et, mais"
nà;jà,"étaler, étendre (au soleil)"
k£-disé,éternuement
i,être
dà,être debout
nd60,étudier; aprendre
gong,éviter
kii,excrément
bèrà-kdsE,expert cultivateur
650,faim
däaa,LC
ndà,ire griller à sec
h11e,ire rites
ndù)j+,irine
kdr,itigue
ngdrong,iucille
dèe-k£-dèé,femme
néé,"femme, épouse"
ga)jx,fendre
n)jàr,"fendre, couper"
r1ya,fendre; déchirer
kay,fendre; diviser; partager
gind#,fer
gir,fesses
hôr,feu
ngon,"fils, fille"
ndèe,filtrer
bày,fille initiée
ndù1o,flétrir:se
hüt#,fleur; fleurir
baa,fleuve
nÿu,"flotter, couler"
nàl,flûte
m£éré,foin (pour les animaux)
n)jà,fois
yèé,fondre
tég£,)rce
kûu,)rêt
do,)rger
kÔd#,)rgeron
dng,"rt:être (boisson, magie)"
nd1yo,uiller
bàj +,urche d'arbre
gàjà,Français :
k£-titè,"fourmi, petite noire : esp."
tiya,fourmi rouge : esp. de
tôÿy,"fourmi, rouge : esp."
häw,fourreau
ngèe,fourreau
h11,foyer
s31,- Langues Sara
kul,froid
n9,front
ànd#,fructifier
kànd#,fruit
ydw,fruit de karité
ày,"fuir, s'enfuir"
Kk06,future vie; au-delà
bèràng,galago : esp. de
ngom,garder [troupeau]
t06,mir
dà-yidè,ncives
tag+,nette
kôl,rafe
bé],aner
n£mé,mbo
süunjur,ndoler : se
gàl,"gourde, esp. de"
gàl,gourdin
naa,goûter
kÈtä-t55,grâce à
g0o,"graillon, flegme"
yäm,graisseux : être
kàa,grandparent
k5SsE,grêle
gimbà,grenouille : esp. de
k£-mur-j1,griffes
bôo,gros : être
yetz,guêpe jaune : esp. de
gimba,guêpe maçonne
birbi,guêpe noire :esp. de
àjà,guérir; sauver
téy,"guetter, traquer"
tôm,"gui, plante parasite"
kEnga,iche
dàw,"ingar (pour l'ombre, etc.)"
münj0,iricot
d06,"ut, en haut"
tàm,rbe : esp. de
mûu,"herbe, paille; brousse"
ndür,hérisson
ngén)j£,hernie
k06,héron garde-boeufs
k3ÿ,hibou
yàbà,hippopotame
k3sÈ,houe
j1-)06,huit
ngül,igname
ù-,"il, elle"
ndéj#,imiter
s+1a,inciter au mal
dilè,icliner (pour verser)
s01,iquiété : être
ng$15,secte : cantharide
tàj+,isulter
kün,iviter
nii,ilousie entre femmes;
ndor,iloux de : être
bât£,mais
n-,je
ro-nèl,"joie, félicité"
mbéo,joue
dông,jouer
ndinga,"jumeaux, jumelles"
mbéa,jusque
gf lé,kyste
ngàmo,"la grippe, la rhume"
nd6,là-bas
nûüu,là-bas (loin)
yà,laisser
mbàa,lait
hàng,lamantin; esprit de l'eau
nddo,langue
tét£,large : être
làa,large : être
mom,large : être (chemin)
ton,cher
bän)j+,‘pre
ndaf -tà,vre
di i,ane
yaf,ane : esp. de
"dündo,bindi",Français :
tübè,lion
sèr,liquide de la bouillie
tiré,"lit, lit de boit"
séy,loin
k£-nga-sii-sèli,"lombric, ver de terre"
ngal,long : être
hîtz,- Langues Sara
k£-nd55-mbél,luciole
ndü1c,luire; briller
naa,lune
d5s5,"lutter, se battre; guerre"
bàrkà,machette
n)3a,magouste à queue blanche
yaäm,maigre : être
5j1,main
ta,maintenant
k£-mbéré,kèrfi
küû)£,maison
moy,maladie
1$ÿ,ilaxer (boue pour briques)
dingäà,ile
sà,inger
ké-gong,mante religieuse
sûkx,marché
ndiya,"marcher, se promener"
k5$,marqueur de débarrassement
-g#,marqueur du pluriel : nom
t£,marqueur locatif
mà j à Î,mauvais : être
-m,me (obj. de verbe)
bôgà,menton
k$o,mère
dsE,ttre en rang
tèii,el
s6-t£,"eux, être mieux"
y4a-k6o,1 (mot général)
jdr,1 sauvage
k£-kùlt,mille-pattes
mbàtà,"mince, svelte : être"
6a,modeler
m1,moi (forme indépendant)
-mM,"mon, ma (oblique)"
àT,monter
d1f,- Langues Sara
t53#,montrer
d5È,"montrer, expliquer"
ddo,mordre
bit,mortier
kéng,mouche
mbàa,mouche tsé-tsé
dy,mourir
hülùm,mousse
yil,moustique
mbù; à,mûr : être
gdt6o,n'exister pas
àl,iger
tüwa,itte : sorte de
dt#,> faut pas
j1-k£ra,uf (9)
ngûn,eud
i1,noir :être
géro,noix kola
"bàa, bèila","nombreux, être"
y4a-k£-sà : N9T=y4-kèsà,- Langues Sara
ki-,| [nous (nom.)
)j-,nous (nom.)
-jè,nous (obj. de verbe)
-j£,"nous (oblique); notre, nos"
kijà,"nouveau, neuf"
h0y,J | nouvelles
günm,noyau
ilT,"nuageux, noir : être"
sé£wé,odeur nauséabond
kàw,oeufs
ndi ja,oignon sauvage ‘esp. de
yèl,oiseau
ndf1,ombre; esprit
nan,OS
kilé-gidi-k£-k£ra,Kul=ddgà-jà-hàré
mb1,eille
kænga,phelin
yir,seille
wal,ourébi
gèrè,outil pour graver
tàgi,ouvert
tèe,ouvrir
häy,pagaie
mäpà,pain
màri-mângé,pangolin
;4ng,"panier, sorte de"
njala,pantalons
kàgi,panthère
kÈt5-kàd#,parce que
titz,pareil : être
ngèe,paresse
t9ÿ,partir
àÎ,"pas, ne ... pas"
bangàw,pe
dàa-j1:Nar-dàa-j1,ume
"ba, ga",yer
ngzra,au
nâw,cheur
ùn,pénétrer dans l'eau
bär,pénis
koông,perche pour cueillir
kèrè,perdrix
b35,père
dèe,personne
duû,petit :être
s1i,"peu, un peu"
n)jà,"pied, jambe"
wôr,pièrre de divination
ùr,piler
sita,piment
tànji,pintade
tôf,pipe
tügx,piquer
bèr,"anche, bois plat"
nGo,eurer
"si1,sik#, s{1",eurer à sanglots
nd1i,uie
bädi-küb#,poche
bit,poil
wong,poison
känjz,poisson
kèsèng,poisson : capitaine
tiw,poisson :esp. de
wüd£,poisson :esp. de
doi,poisson :esp. de
güu,poitrine
mbr,pomme cannelle
jdr-k$$,| pomme d'Adam
tà-déb#,porte
to,porter
d0,porter (des habit)
1à,porter [habits]
nda,poser à plat
ngisa,pou
kinjä,poulet
ki-ndäñg,ur rien
ndûm,urri : être
sd$bürü,ussière
büu,ussière
ùûn,prendre
d0,préparer la bouillie
sà,presser avec doigts
irè,"presser, forcer"
tÆna,"prêter, emprunter"
gat#,prix
ngèr,proche
do,"profond, être"
bül,profondeur
mba,proposer
ngè,propriétaire
3d3/34dE,puiser
dèe,puits
t£ya-b5r,punaise des lits
bti,pus
môm,python
dingäyt#,quand?
s$$,quatre
hé,"que, qui"
n,"le, qui, ce que, ce qui"
di,"1e, quoi"
k93,"iémander, solliciter (don)"
bông,eue
k£,"ii, que"
ngàrà,icines
3y,"ramasser, prendre"
àgi,ramper (un enfant)
bàa,rancune
ngisx,"raser, se"
läng,rat :esp. de
nim,rat :esp. de
njdy,rat :esp. de
nag£,rattraper
mbèr,rayon de miel
mbéjx,redresser
ndéj#,redresser
gaa,\ | réfléchir
11ya,refroidir
"küro, k:ro",remuer
"tüwa, t+6ä",renvoyer; chasser
dtà,répandre une odeur
ndigi,‘pondre
bis#,:sidu
nd£gà,ste
này,2ster
sée,tailler
ndél,"veiller, se réveiller"
tél,Français :
n1i,rêver; rêve
bàn,rhinocéros
kag#,rhumatisme
kàri,rien; vide; normale
go,rire
; àng,rival
màr,| | rônier
tàl,rosée
gijè,". | roter, éructer"
kère,rouge : être
rübo,ruche
néng,sable
ngér,sable
gàgà se,sagaiïe : sorte de
ningà,"sagaie, lance"
hà,"saisir, prendre"
Ba1,saison seche
yuré,ileté
hor,"live, crachat"
k£-tändz,ingsue
t4a,Français :
bàl,saut
k£-däa,sauterelle
gèr,"savoir, connaître"
ndori,scolopendre
"g£né, g£né",scorpion
tùtà,sec : être
ndôg#,- Langues Sara
mbàa,sein
kàt#,sel
; fngà,semoule
gang,separer
tèni-mità,sept
nàj#,"serment; honneur, justice"
11i,serpent
nèima,serrer
ki-k£ra-ù,"seul, tout seul"
kdo-n,seulement
t1w,sève; glu
enlevent,lure : esp. de
bètx,.nge
ibà,-roter
k£-bdy-dèt#,.X
kènda,if
1d-k£-sd1-é,ir
kàdi,soleil
käàl,solitude
til,"sombre, nuit"
tän,somnoler
"bèina,bèna",son de mil
-à,"son, sa"
kèima,sorcier
tèe,sortir
g1g+,souche
mbé6o,sourd-muet
gir,"sous, dessous"
gèr,spatule en bois
kùjà,stérilité
n)üûûu,sucer
ntnñg,sucer
il,sucer (enfant)
yik#,sucré : être
tùto,sueur; suer
dS,"sur, dans"
làât#,"icher ,enduire (d'huile)"
t$l,1iller; affûter
gid£,lon
màs+,imarinier
kÔdÈ,imbour
gâng,"imbour, grand"
"tème, tèmé",mis
yàtà,tamis : sorte de
saàn,tamis : sorte de
s1ya,tamiser
bàr,tante paternelle
nder,tapioca blanc
)1,tarir
düu,tas
-1,te (acc. s.)
ngàrà,- Langues Sara
y0o,termite blanc
nàng,"terre, sol"
dà,tête
kas+,tibia
35,tiède : être
käd£,tige
mèe,tique
nd$r,tirer
dà-béd£,tombe
s0,mber
èdi,mber (pluie)
ùr,mber par terre
-£,"on, ta; toi"
dûgi,rdre; être courbé
nduy,>rdu : être
boÎ:Nar-büi,tortue : esp. de
ôd},toucher
kè-nda-nd535-g9#,"toujours, souvent"
nél-ma Î,tourbillon
bit,"tournoyer, secouer"
tüu-bè,tous
késx,tousser
kàlà,travail
der,traverser
der,"traverser, passer"
"ndèw, èw",trembler
y11,tremper
hét#,tresser
mité,trois
bàtà,trompe (éléphant)
bee,trou
bÈ10,trou
1-,1; vous
t51,ler
kènga,iteurs
k£ra,Français :
kéd£i-màan,urine
Kkàyà,vagabondage
mdd,vagin
kèe,"van, panier pour vanner"
ngôm,"vanter, se"
kündé,vapeur
dâb#,vendre
dèe,venir
ndus+,vermoulu : être
Kk#,vers
mbél,verser
ndès#,verser en laissant residues
küb#,vêtement
daa,viande
b£gé,vieillard
dà-06,ngt
g00,siter
ndd1,"_squeux, gluante"
Ô0,ir
màdz-bee,Kul=ni-dàrüu
-s},üù | vous (acc.)
-s£,vous (oblique); votre
mbaa,"voyage; hôte, invité"
ndï {,"youyou, faire"
kendi,zorille
