ngambay,français
t6g#,)rce
kù,)rêt
00,)rger
njè-kr,)rgeron
0lè,"rt:être (boisson, magie)"
j4gzla,uiller
"mb3-kägx, bà",urche d'arbre
b;,Français :
tür,"fourmi, petite noire : esp."
t{ya,fourmi rouge : esp. de
toy,"fourmi, rouge : esp."
tàlbést,fourmilier
s51,fourreau
p1l,foyer
kül,- Langues Sara
ngo-ké,"frère, soeur"
Kkuüul,froid
n,front
rit,frotter
ànd#,fructifier
känd#,fruit
ày,"fuir, s'enfuir"
sà,fumée
ngàw,"furoncle, bouton au visage"
bàtang,galago : esp. de
ngsm,garder [troupeau]
gèl,gauche
èl,mir
yir,ncives
tag+,nette
-sfi,nou
Bùr,aner
ima,mbo
nduf,ndoler : se
g61e,"gourde, esp. de"
q1l,gourdin
n3,goûter
mb$1-d°?,grâce à
ko,"grain, germes"
èmi,graisseux : être
boÿ,- Langues Sara
tôgi,grandir
kà,grandparent
ngé,gratter
k5j1,grêle
dàm,grenier
gir-gl,griffes
ndàng,gronder
"bù, boÿ",gros : être
dang,grue couronnée
qüma,guêpe maçonne
mbir-mbi,guêpe noire :esp. de
àji,guérir; sauver
tém,"gui, plante parasite"
tina,iche
Kkit,imeçon
bärd,"ingar (pour l'ombre, etc.)"
minji,iricot
tàf,"ut, en haut"
tèmè,rbe : esp. de
mt,"herbe, paille; brousse"
ndür,hérisson
ngénjfi,hernie
kéw,héron garde-boeufs
k3y,hibou
tàg£f-nè,- Langues Sara
àbà,hippopotame
kdsi,houe
ùbu,huile
)j1-này-)06,huit
rigèm,hyène
nè,ici
gèbà,idiot
ngül,igname
ngàrù,iguane
ù-,"il, elle"
n-,"ils, elles"
ndä)j1,imiter
"sula,tula",inciter au mal
Kkùr,secte
njüba,secte : cantharide
tà)1,isulter
ngän-si,itestins
baär : sr-bex,iviter
ni,ilousie entre femmes;
sâr,mais
j6,"jarre, canari"
m-,je
r5-1èl,"joie, félicité"
b$1,joue
ndam,jouer
nds,"jour, journée"
ndüngà,"jumeaux, jumelles"
sär,jusque
küngä-beënji,"la grippe, la rhume"
n06,là-bas
nû,là-bas (loin)
]yà,laisser
mbà,lait
àng,lamantin; esprit de l'eau
ùr,lancer un projectile sur
ila,"lancer, jeter"
ndo,langue
tàr,"langue, langage"
täd#,large : être
tâd#,large : être
t6go,laver
-é,"le, la, lui (obj. de verbe)"
t5n,cher
-baän)ji,‘pre
g£i-dé,quel
-dé,"ss, leur"
nèr,ane : esp. de
Kkivya,ane : esp. de
bir-bindi,Français :
dddèi-5m:Sr-ddg9gèn,lièvre
tèbè,lion
tira,"lit, lit de boit"
èw,loin
ngal,long : être
pidi,- Langues Sara
9ÿ,lourd : être
büsü,luciole
ndéle,luire; briller
nay,lune
mùl à,lutte
d5,"lutter, se battre; guerre"
n;ja,magouste à queue blanche
ysm,maigre : être
j1,main
bèsf-nè,maintenant
mâsàr,kèrfi
kéy,maison
mèy,maladie
mèdà,iladie; infirmité
mboy,ilaxer (boue pour briques)
dingàm :Sr-dèingàm,ile
kul,inche
ùsà,inger
"murû,mun",inger (qc farineux)
0,inger (qc mou)
ngàli,Français :
géñg,mante religieuse
sûgi,marché
nja,"marcher, se promener"
béylà,margouillat
ngàw,mari
bày,FO
à,marqueur d'interrogation
k5$,marqueur de débarrassement
à,marqueur du futur
je: Sr-g#,marqueur du pluriel : nom
-d#,marqueur locatif
nd5$,matin. de bon matin
màn,maudire
màjèÎ:Sr-màjài,mauvais : être
-m,me (obj. de verbe)
küma,médicament
wàst,melon
käâra,même
gél-tà,menton
k6,mère
mb$j1,mesurer
nàm,ttre les os ensemble
tènji,el
s6-d£,"eux, être mieux"
ko,1 (mot général)
tsy,1 pénicillaire
wàa,"1, esp. de."
säg#,Français :
külülu,mille-pattes
mbàdi,"mince, svelte : être"
ùba,modeler
ma,moi (forme indépendant)
-n,"mon, ma (oblique)"
àl,monter
dd-g£-d1i,- Langues Sara
t5j1,"montrer, expliquer"
t6,mordre
kôy,mort
yo,mort; sorcerie
birt,mortier
kém,mouche
séi,mouche tsé-tsé
151,mouillé : être
ùy,mourir
y{1,moustique
bàd#,mouton
"Ôb+t, kàs",mûr : être
gôdé,n'exister pas
àlè,iger
tuwa-tégz,itte : sorte de
tüwa,itte : sorte de
j1-này-kéra,uf (9)
èm,Z
may,er
ndûl,noir :être
gérd,noix kola
r1,nom
k5,nombre
bülà,"nombreux, être"
kum,nombril
né-s,- Langues Sara
)-,| [nous (nom.)
)-,nous (nom.)
"-si, -si",nous (obj. de verbe)
-si,"nous (oblique); notre, nos"
kigi,"nouveau, neuf"
känd#,noyau
il,"nuageux, noir : être"
ndül,"nuit, sombre : être"
go,nuque
kèm,oeil
kàw,oeufs
èl,oiseau
) Îmti,oiseau : drongo
ndil,ombre; esprit
nané,OS
dôg-gir-é-kâra,Kul=ddgà-jà-hàré
mb1,eille
singa,phelin
Îirt,seille
däà,Français :
tég#,ouvert
tèe,ouvrir
häy,pagaie
1el,pagayer
mäpà,pain
màar-mâangä,pangolin
Kkoôr,panier (pour pêcher)
kàrè,"panier, sorte de"
njälalä,pantalons
kàgi,panthère
mbede,papier; livre
ébe,papillon
mba-tà,parce que
togf,pareil : être
"ndj1,nû)j1","parents, famille"
ro5m,paresse
tàr,parole
käy,partager
nddy,partir
è {,"pas, ne ... pas"
yôlè,passer sur le feu
bangäw,pe
dàämlà-it,ume
ndoo,iuvreté
ùga,yer
ng1ira,au
ndaf,"‘au, cuir"
mbàw,cheur
èn,pénétrer dans l'eau
bsn,pénis
kèrè,perdrix
bàñ,père
mèr,perles
dèw,personne
"duüû, läm",- Langues Sara
b61,"peu, un peu"
bèr,phacochère
qàl,"pied, jambe"
qum,piège
dér,"pigeon, tourterelle"
ùr,piler
sèbà,piler (pour enlever le son)
gày,pilon
"kaäba,",piment
ùgù,"pincer, gratter"
tànji,pintade
bày-sà,pipe
dsi,piquer
to,pirogue
dà-gà1,"ace de, traces de"
k3 y,acenta
do,"aie, blessure"
1è1,aire
no,eurer
nd1,uie
bèl,plume
bit,poil
Bül-ndà,pois de terre
màst,poison
kan)ji,poisson
kèm-nd5y,poisson : capitaine
ds Î,poisson :esp. de
"sènè-kàr,",poitrine
mbôr,pomme cannelle
ngàdingé,| pomme d'Adam
déi,pont
1ya,porc-épic
tà-kéy,porte
dd0,porter
95,porter [habits]
ünda,poser à plat
ngisa,pou
künjä,poulet
mba,ur que
g#-ndanñg,ur rien
mba,ur; à cause de
mba-di,urquoi
ndûüm,urri : être
bébürü,ussière
KkÔr,Français :
béd$f-b4,"premier, d'abord"
ta,prendre
ùn,prendre
tà,préparer la bouillie
odrè,"presser, forcer"
tüna,"prêter, emprunter"
gadx,prix
tà,problème
"dèbè,ng5si",proche
ùr,"profond, être"
ngül-àma,profondeur
njè,propriétaire
n;è,propriétaire
t0,puiser
bùlà-maàn,puits
y1,pus
màm,python
10-g£,quand
s6,quatre
kàr,"que, pour que"
b4,"que, qui"
g#$,"le, qui, ce que, ce qui"
di,"1e, quoi"
k3dy,"iémander, solliciter (don)"
Bông,eue
né,"ii, que"
ngirà,icines
"3y, ddo","ramasser, prendre"
àgà,ramper (un enfant)
àle,ramper (une plante)
bàa,rancune
ndisa,"raser, se"
yinga,rasoir
ndan,"rassasié, être"
mb6,- Langues Sara
làng,rat :esp. de
nim,rat :esp. de
yégx,"rat, souris"
1àl,1 | rater; manquer
nàr,redresser
ènj1,\ | réfléchir
mbad#,refuser
dûsù,remplir
kore,remuer
gqudüru,remuer
tüba,renvoyer; chasser
èndi,répandre une odeur
tüdü,‘pas sans sauce
"yàgidà,",‘pondre
bisx,:sidu
kèms,spiration; repos; souffle
gèsx,ste
này,2ster
ndél1,"veiller, se réveiller"
tél,Français :
n1,rêver; rêve
"kàsi-bàri,",rhinocéros
kàr1,rien; vide; normale
sûqgü,rincer
kôqt,rire
jàng :Sr-=jàng,rival
mèàr,| | rônier
tàl,rosée
dèji,". | roter, éructer"
kàsi,rouge : être
débé,"route, chemin"
mbéro,ruche
ng,rugueux : être
nég£ira sé,sable
nängéra,sable
6$1,sac
ningà,"sagaie, lance"
üwà,"saisir, prendre"
bàr |s,saison pluvieuse
näy-kàr,saison seche
y1ré6,ileté
y1iro,"live, crachat"
mést,ing
téndx,ingsue
néy,Français :
täl,saut
gâbirà,sauterelle
gèr,"savoir, connaître"
ndàrè,scolopendre
i,scorpion
tüdù,sec : être
ày,sec : être (en surface)
ndogo,- Langues Sara
yégx,secouer
mbà,sein
kàd#,sel
jfnga,semoule
gang,separer
s1ri,sept
nàj1,"serment; honneur, justice"
11,serpent
ndûbù,"serpent, esp. de"
kér,sésame
kâri,"seul, tout seul"
bàé,seulement
sé,si
$èdz,.nge
n3,-roter
misä,.X
kùnda,if
kümètàg£,ir
kàr,soleil
til,"sombre, nuit"
bina,son de mil
-é,"son, sa"
nj)è-kûma,sorcier
goji,- Langues Sara
"tèe,tèe:Sr-tèe",sortir
)j1g1,souche
gél,"sous, dessous"
gèr,spatule en bois
kàdi,stérilité
n;1b1,sucer
il,sucer (enfant)
r1i,sucré : être
tèd#,sueur; suer
d5,"sur, dans"
sà,tabac
ké11,€
t61,1iller; affûter
màs#,imarinier
dà1è,imbour
dàlè,imbour à deux faces
gâng,"imbour, grand"
-tème,Français :
yàdi,tamis : sorte de
sàn,tamis : sorte de
sa,tamiser
bèn,tante paternelle
it,tarir
-1,te (acc. s.)
ngirà,- Langues Sara
wa,termite ailé
yo,termite blanc
nàng,"terre, sol"
dà-nàng,terre; territoire
gèm,testicules
d,tête
kägr-gl,tibia
kär,tige
m)yà,tique
ndér,tirer
gindo,toile d'araignée
dà-bér,tombe
ùs0,mber
èr,mber (pluie)
-i,"on, ta; toi"
ngèl,>rche de paille
dûgù,rdre; être courbé
mèy,Français :
ddi,toucher
lél-mai,tourbillon
ndur,"tourner, se"
l4y,tous
-kés#,tousser
godà,trace de
tér,traire; presser avec main
àdà,tranchant : être
kùlà,travail
dSs£é,"traverser, passer"
dàd#,trembler
kèn,tremper
d5-mündà,trente
pénde,tresser
ùnj1,tresser (le secco)
mèndà,trois
be,trou
"bôlè, büwà",trou
mbüdù,"jouer; percé, être"
ingà,-ouver
Bàa : sr=Bàa,ouver par terre
1-,1; vous
t5l,ler
kâra,Français :
èdz,urine
ngir,vagin
kèe,"van, panier pour vanner"
béle,"vanter, se"
kündü,vapeur
bur,varan
-dàw,vendre
dèe,venir
i,venir de; se lever
lél,vent
mè,ventre
mai,"verge, pénis"
ndusu,vermoulu : être
ds,vers
mbél,verser
"ôm, mbél",verser
ndûsu,verser pour décanter
kubu,vêtement
da,viande
"büga, tôgi",vieillard
$e,llage
d5-;06,ngt
g05,siter
kàlàng,te
Ô0,ir
njè-bàdà-kéy,Kul=ni-dàrüu
ndu,voix
bôgù,voler
t5me,vomir
gè,vouloir
-si,üù | vous (acc.)
-sfi,vous (oblique); votre
mba,"voyage; hôte, invité"
ndii,"youyou, faire"
kindi,zorille
