kaba_na,français
ßï,dormir; sommeil
ngìdì :,dos
hî,doucement
ngàngàrà,"dur, difficile : être"
àhä,durer longtemps
mànï,"eau, de l'eau"
ßálà :,écrire
njîmè :,écureuil : esp. de e
ßûnë,écureuil de Gambie
mbálï :,échanger [qc] e
kàjï :,éléphant
ùlü,ever; nourrir
ògì,pêcher; refuser
ké :,vain
lòö,"droit, lieu; temps"
mönö :,enfant
òyò,"enfanter, accoucher"
sï :,enfiler
ní-këjé,engoulevent
ní-bängä,ennemi
njò«,enrouler
ßílï,enrouler
òö,"entendre, écouter e"
jùbü :,"enterrer, semer"
ànjä,entrer
mälá :,vie de
ìlà,voyer
ßîßè :,ais (liquide) : être
sálà :,"arpiller, écarter"
dägï,aule
yàngàlì,ervier
könö,"ine, épines"
nìngä,"épuiser. finir, achever"
…àßà,escargot
ßàÿ :,esclave
jùlù :,esp. d'antilope
ùsù,essuyer
àbï,"et, mais"
îbë :,"étaler, étendre (au soleil)"
kí-yòyóndü,étoile
ndóò :,étudier; aprendre f
kèÿ,excrément f
këy,fagot
ßö,faim
tá¯,faire
ndùjú,rine
kî,tigue
î,tigué : être
màndé :,femme
wùyà :,fendre
yäy,fendre; diviser; partager
òtï,fermer
mèy :,fesses
hàrù,feu
bándà :,filet
húrè :,fleur; fleurir
bä,fleuve f
lülü :,"flotter, couler"
wù :,foie
ndàtè :,fondre
kàngä :,rce
gàlà :,rêt
kîdë-kòkù,rgeron
bàrä,urche d'arbre
tí…ä :,fourmi rouge : esp. de
hôkû :,fourreau
sïlï :,foyer
káÿ,frais : être
külï,froid
dà»-nîû :,front
ànä :,fructifier
kànä :,fruit
à…ä,"fuir, s'enfuir"
tühü,fumée
hä…ä :,future vie; au-delà
kí-mä…ä,galago : esp. de
gálì,gauche
téhë :,mir
tägö,nette
jè,nou
kòlò,rafe
ngáÞ,aner
…ámà :,mbo
gálà,"gourde, esp. de"
gîlè,gourdin
ndö,goûter
köhö,"grain, germes"
wòö,grand : être
tîgî :,grandir
kàká,grandparent
èkè :,gratter
mbóö :,grêle
wä,grenier
rélì-njàä,griffes
njàmà :,gronder h
kí-däw :,grue couronnée
…ëtë,guêpe jaune : esp. de
gùmbä-dîgî :,guêpe maçonne
àyà,guérir; sauver
tó¯ :,"gui, plante parasite"
küngä,che
kùÿ,meçon
dàbà :,"ngar (pour l'ombre, etc.)"
mìnjò,ricot
tèmbè :,rbe : esp. de
tïyö,herbe mauvaise : esp. de
ngàlï,"herbe, paille; brousse"
njúrù,hérisson
körí,héritage
kûwŠ,héron garde-boeufs
díìdíì :,hibou
njínjôî,Langues Sara
jä-àbà :,hippopotame
kîkè-njàkä :,houe
béÿ-yä-yä :,huile
sàlïnjä,huit
…èý,hyène
jó,ici
kàbànà :,idiot
ndájö,imiter j
kí-málá-gògórò,secte : cantharide
tìhï :,testins
néØ,lousie entre femmes;
gírò :,"jarre, canari"
mí,je
mbôî,joue
njíkï,jouer
kàjà,"jour, journée"
njùngà,"jumeaux, jumelles"
jún,là-bas
ì…ä,laisser
mbàä : Kul=mvà :,lait
ná-mànë :,lamantin; esprit de l'eau
ndîlî :,langue l
tà l,"langue, langage"
àßà :,large : être
tôî :,laver
tûnë,cher
kínjï,pre
gímbï :,bellule
wömö :,lièvre
ngèsè :,lion
ßìdä,"lit, lit de boit"
hítï :,Langues Sara
nûhŠ,lune
mbìlè,lutte
rû,"lutter, se battre; guerre"
ndôkû :,maigre : être
jïlï m,main
ásà,maintenant
bày-màngà,maïs
káØ,maison
mòtù :,ladie; infirmité
jújü,laxer (boue pour briques)
kölï,nche
ìsà,nger
mbírì,nger (qc farineux)
ngàlè,nioc
súkù :,marché
kàßë,"marcher, se promener"
kél,margouillat
ngàßà :,mari
hàyà :,"marmite, petit"
wà :,marqueur d'interrogation
nj- :,marqueur du futur
gë,marqueur du pluriel : nom
àsü :,mauvais : être
wàsö :,melon
kóò,mère m
kàmbá :,l (mot général)
täy-kàá :,l pénicillaire
kóngó :,mille-pattes
ùßä,modeler
àlö,monter
îjî,"montrer, expliquer"
jù…ù,mordre
ìlä,mort
bèrï,mortier
ká« :,mouche
mbà,mouche tsé-tsé n
ò,mourir
húndúlú,mousse
wólü,moustique
àlè,ger
njàgà :,tte : sorte de
dàkäßü,uf (9)
kúnü,z
ngängä :,er
ìlì :,noir : être
kí-rûô :,noix kola
yï,nom
küm,nombril
nákü,nourriture
jé :,nous (obj. de verbe)
köngö :,noyau
kàm,oeil
kîßè,oeufs
àlï,o
gü,oiseau : drongo
njílì :,ombre; esprit
nänö,oncle maternel
mbï,eille
nüngä,phelin
yíì,eille
wälë,ourébi
téë,ouvrir
háØ,pagaie
mápà :,pain
yúkà :,pangolin
kàbà :,panthère
kékéßë :,papillon
lòhà-ré :,parce que
™Š,paresse
hàä :,parole
bängàw,patate douce
njàhà :,uvreté
ùbä,yer
ndäá :,"au, cuir"
ànï :,pénétrer dans l'eau
gî :,perche pour cueillir
bìyà :,père
kîßè-kúlë :,perles
dèßë,personne
ßó :,petit : être
ßîý,"peu, un peu"
bàrü,phacochère
njàä,"pied, jambe"
gömbï :,piège
déè,"pigeon, tourterelle"
súkä :,piler (pour enlever le son)
gòö p,pilon
sítà :,piment
ùgù,"pincer, gratter"
tànjà,pintade
gírò-sèlí p,pipe
ùdù p,piquer
tòhò,pirogue
…èë :,acenta
dòö,"aie, blessure"
njï,uie
bèlé,plume
kòý :,poche
bèlé,poil
känjë,poisson
mönö-känjë,poisson : capitaine
tíßì,poisson : esp. de
gîlë,pomme d'Adam
ìtö :,porter
ìndä :,poser à plat p
ngísä,pou
künjá,poulet p
bàmbú :,ussière
tàkä,prendre
käsä :,prix
wùlü,"profond, être"
kí-ßäkä :,propriétaire
rèÿ :,puits
wüy,pus
màmà :,python
sîô,quatre
kí :,"que, qui"
njîßè :,"émander, solliciter (don)"
kïlá,eue
náä,i?
gígìï :,cines
ndág,ramper (un enfant)
àlà,ramper (une plante)
ßäng,rancune
ní…à,rasoir
kí-yïmí :,rat : esp. de
…àlä,rater; manquer
îgû :,refuser r
ròsò :,remplir
tûßû :,renvoyer; chasser
àtù,répandre une odeur
kàÛ,spiration; repos; souffle
ndákì :,ste
ndü :,"veiller, se réveiller"
télè,"venir, rentrer; tourner"
nï,rêver; rêve
bàn,rhinocéros
k¨,rien; vide; normale
súkù :,rincer
túbö :,rire
tàlò,rosée
àkè :,rouge : être
róbò :,"route, chemin"
nüßä :,ruche
màngàrà,rugueux : être
nìngà,"sagaie, lance"
ùkà,"saisir, prendre"
ßà,saison pluvieuse
kïró :,leté
wŠ,"live, crachat"
másù :,ng
täl-njï,ngsue
kájë :,ns
tárò,uce
yìmï :,sauterelle
gèÿ,"savoir, connaître"
kí-ndà»-ndà :,scolopendre
gúnä,scorpion
kíyè,Langues Sara
mbàä,sein
kàtä :,sel
gínjà,semoule
mìtíkíjó,sept
lï,serpent
njùrù,serrer
kóØ,sésame
tïbï :,sève; glu
gàgà,lure : esp. de
ßàtï :,nge
màká,x
kùnjä,if
nè-kàlà,solitude
sìlï :,"sombre, nuit"
gìrà :,son de mil
gîjè :,sorgho
tàkï :,sortir
gïgï :,souche
mèy,"sous, dessous"
kùjì :,stérilité
njóßü :,sucer
ndërë :,sucré : être t
jî,"sur, dans t"
sèlí,tabac
mbätä :,tabouret t
ndùm :,mbour à deux faces
dälä,"mbour, grand"
tèmë :,mis
góngö,tamiser
bè…ë,tante paternelle
gáØ :,tapioca blanc
ròkü,tarir
ßáà :,tas
"ì,ï",te (acc. s.)
kí-yèmbé :,termite ailé
ngáä,terre; territoire
gà« :,testicules
jîû,tête
ßîlû,tibia t
kádà :,tige
…èy :,tique
îrè :,tirer
yà :,toile d'araignée
ßádà,tombe t
ìsö,mber
àrì,mber (pluie)
í,"n, ta; toi"
mbòhö :,rche de paille
góØ :,rdre; être courbé
mà…ù,rtue : esp. de
îdî,toucher
…élè-mälá :,tourbillon
bíï :,"tournoyer, secouer"
kásï,tousser
gòtò :,trace de
kìlà :,travail
ìndà,trembler
téè,tresser t
òyö t,tresser (le secco)
mùtá :,trois
ènë,"ouer; percé, être"
èmbè :,ouver
tûlë,er
kàré :,Français
kájï :,urine
kèë,"van, panier pour vanner"
…îgîrî,"vanter, se"
ríbï,vendre
àbò,venir
àgà,venir de; se lever
…élè,vent
bùdè,ventre
ndüsü,vermoulu : être
…àmá :,vêtement
jä,viande
kònö,eux
ßë,llage
jîk¨Š :,ngt
gîsíì :,te
ùwà,ir
màndà-dà,Français
njü,voix
ßògò :,voler
túrë :,vomir
dúrù,vouloir
sè :,ü vous (acc.)
sé,vous (oblique); votre
mbä,"voyage; hôte, invité"
njïlï,"youyou, faire"
këndí,zorille
dänä,accompany
gîlë,adam's apple
hä…ä :,afterlife
àbï,"and, but"
yöngö :,anger
jä,animal a
àlè-säkä,ankle a
mbë :,"announcement, public"
tí…ä :,ant : red
yúkà :,teater : type of
jùlù :,telope : duiker
wälë,telope : oribi
nàsë :,telope : roan
ngônè,telope : Tragelaphus oryx
kà,telope : type of
kûlë,argue with : to
mîtî-käm,armpit
káà :,arrive : to
kîdë,"artist, expert"
ßükü :,ash
jìrè,ask : to
bè…ë,aunt (paternal)
küngä,axe
màdà,baboon
ngìdì :,back
mîdôî :,bachelor b
àsü :,bad : to be
kèë,sket (for winnowing)
dòngì,t : type of
njòbö,the : to
kîßè-kúlë :,beads
mìnjò,beans
ànä :,bear fruit : to
mbïyá,beard
lòhà-ré :,because
ßìdä,bed
tàgì :,bee; honey
nüßä :,beehive
bílí-bìlì,beer : millet
bèÿ :,ò bees (live in ground)
kí-málá-gògórò,beetle : blister beetle b
gétè :,before
njîßè :,beg for : to
gû :,behind
küm b,belly button
wòö,g : to be
àlï,rd
gü,rd : type of
jù…ù,te : to
kátä,tter : to be
ìlì :,ack : to be
kîdë-kòkù,acksmith
másù :,blood
bàrü,boar
…îgîrî,boast : to
yû,body
nüngä,bone
ßùlè :,bow and arrow
hàyà :,bowl : small clay
gìrà :,bran
mápà :,bread
tàtè :,break : to
tûkû,break : to
mbàä b,breast
kàÛ,breath; rest
òjï,bright : to be; to light
jàkö,oom
sáyò :,other-in-law
dîgî :,ffalo
î…î :,rn : to
îßû :,rn base of tree : to
jùbü :,"bury, plant : to"
kámb,"bush, leaf"
tóßö,bushbuck
kékéßë :,butterfly
mèy :,buttocks
njàmà,call : to
jámàlà,camel
jëmë,"caracal,desert lynx"
ìtö :,carry : to
ngàlè,cassava
ndàÛ :,cat
kákä,catch (in air) : to c
ùkà,"catch, seize : to"
gàgà,catfish : type of
kí-ndà»-ndà :,centipede
jàmbá :,"civet, african"
rélì-njàä,aws
kéngè :,ay : black
kíyà :,ay : red
ndìsï,"ear, clean : to be"
àlö,"imb, go up : to"
süú,itoris
òtï,ose : to
…àmá :,clothes
gîlè,club
külï,cold
àbò,come : to
àrì,come down : to
àgà,come from; get up : to
hítï :,"congratulate, praise : to"
ndèrì :,cook : to
kéjï,cooked enough : to be
káÿ,cool : to be c
bùlà :,"coop, pen"
bày-màngà,corn
nünú c,corpse
…àlw¨™ :,cotton
kásï,cough : to
îyû :,unsel : to
tôjî :,unt : to
gûbë :,untryside
sä :,w : cattle
kí-däw :,ane
mälá :,aving for
ndág,crawl
kí-ßàlè :,crocodile
káhä :,crow
ùßä,"crowd, crowd about : to"
kòkï :,cucumber
àyà,cure : to
jàhà,cut : to
dòö,"cut, sore"
tìsá :,"chaff, husk"
kí-…ügäßälä,chameleon
kúlù,charcoal
ndálë :,chat at night : to c
mbôî,cheek
künjá,icken
kông™,ief
mönö :,ild
héë :,oose : to
ùg,chop : to
njíkï :,dance
sìlï :,dark; invisibleness
kàjà,day
ìlä,death
kürä :,debt
wùlü,deep : to be
ngängä :,deny : to
rèjì :,descend : to
tújù :,"destroy, ruin : to"
tàlò,dew
njômë,diarrhea : to have
ò,die : to
kàkàlà :,different
òrì,dig : to
kïró :,dirtiness
nüßö :,distribute : to
tá¯,: to
bísì :,g
déè,"dove, pigeon"
ngá :,"down, downwards"
gímbï :,dragonfly
nï,dream
™Š,drink : to
dälä,drum : type of
ndùm :,drum : type of
ròkü,"dry : up, to"
îbë :,dry in the sun : to
ndäbá,duck
bàmbú :,dust
mbï,ear
ìsà,t : to
mbírì,t (powder) : to
kîßè,g
njòrò :,gplant
kûwŠ,ret
sàlïnjä,ght
kàjï :,elephant
ní-bängä,enemy
àsà,enough for : to be
ànjä,enter
kèÿ,excrement
mbálï :,exchange : to
kàm,eye
ìsö,fall : to
njàkä :,"farm, plant : to"
bìyà :,ther
kî,tigue
ßëlé,ar; to fear
bèlé,ather
rû,ght : to
ròsò :,fill : to
èmbè :,find : to
nìngä,finished : to be
hàrù,fire
këy,firewood
ní-kòö :,firstborn child f
känjë,fish f
mönö-känjë f,fish : Lates niloticus
tíßì,fish : type of f
kùÿ,shhook
mìí,ve
ngísä,ea
à…ä,ee : to
lülü :,"oat, flow : to"
ndùjú,our
húrè :,flower : to
ká« :,fly
húndúlú,foam
gú¯séè :,fog
nákü,food
ròkù :,food (main dish for Saras
njàä,"foot, leg"
dà»-nîû :,forehead
gàlà :,forest
bàrä,fork of tree
sîô,four
ßàkúrà,friend g
kànä :,fruit
kí-mä…ä g,galago : type of
tägö,net
kòlò,raffe
ì…ä,ve
òyò,ve birth to : to
ngáÞ,ean : to
tí…à :,English –
àßë,go : to
tàkï :,go out : to
bàlà,"goat, billygoat"
núß,God; Luwa (brother of Su)
kòrï :,good : to be
kïhé,gourd
gúù,gourd : type of
gálà,gourd : type of
jènï :,gourd used as spoon
gínjà,grain : crushed
wä,granary
kàká,grandparent
tèmbè :,grass : type of g
kíyè,grass fencing
ngàlï,"grass, straw g"
yìmï :,grasshopper
ngáä,ound
àlà,ow on ground (plants) : to
tîgî :,"ow up, get big : to"
ùßà :,"ow, stuff into, step on :"
tànjà,guinea fowl
mbóö :,hail
ngîû,hair
bèlé,"hair, body hair"
jïlï,hand
kölï,handle (of tool)
ngàngàrà,"hard, difficult : to be"
wömö :,hare
ßängä,"hatred, rancor"
jîû,head
òö,hear : to
bólì :,heart
sïlï :,hearthstone
njúrù,dgehog
jó,re
yíì,biscus
ìyä,hide; set a trap : to
jä-àbà :,hippopotamus
kîkè-njàkä :,hoe
gàjà :,horn : animal
kúndä,horse
sítà :,hot pepper h
káØ h,house
ndökú,how much
gùy :,hunch (on back)
kóò-mùtá-bï-dîgî,hundred
ßö,hunger
ngàßà :,sband
mí,ena
kàbànà :,iot
ndájö,imitate : to
kàm,in
ké :,in vain
àgö,increase volume : to
körí,inheritance
mòtù :,injury
tàý,insect : bee-like
tìhï :,intestines
njù…ü :,"itch, to; to be itchy"
tà£-bòó :,jackal
néØ,jealousy between co-wives
kï…ö :,karite tree
tûlë,ll : to
ngäw :,ndling : firewood
yàngàlì,te (type of bird)
jè,ee
kùyä :,ife
bîkî,ife : throwing
gèÿ,ow : to
yàlö,kob : type of
kí-rûô :,kola nut
tà,language; speech
àhä,last a long time : to
túbö :,laugh : to
™Š,laziness
ì…ä,leave [s.t.] : to
täl-njï,leech
gálì,left side
kàbà :,leopard
kínjï,leprosy
tûnë,lick : to
ndäy,lie down : to
ngèsè :,lion l
ßîý,"little, a"
wù :,liver
kélï,lizard : type of
sélë :,ok for : to
yôkû :,ose : to be
nàÛ,ve : to
kùmá,lower back; kidney
kùjè,maggot
bílì :,mane
…òbò,marabou stork
súkù :,market
njàgà :,mat : type of
îjî,measure : to
jä,meat
ndàtè :,melt : to m
dànà,middle m
mbàä : Kul=mvà :,milk
kàmbá :,millet
täy-kàá :,millet : type of
kóngó :,llipede
…àlä,"ss, to; to be missing"
jújü,x mud : to
téhë :,an : to
málè,ney
ßàtï :,nkey
nûhŠ,moon
bèrï,mortar
wólü,mosquito
kóò,mother
tà,mouth
yáÿ,move : to
däy :,"much, many, a lot"
bîté,mud
mböw :,mushroom
yï,name
míndì :,neck; throat
…íbìrì :,needle
màndà-dàrü,neighbor
bándà :,net
kàjò :,xt to
ní-këjé,ghtjar
dàkäßü,ne
kún,nose
k¨,nothing; empty; normal
ásà,now
béÿ-yä-yä :,oil
…ámà :,okra
kònö,old person
jî,"on, in"
kàré :,one o
téë,open : to
tó¯ :,oquid
àlà :,orphan
gàÛ,trich
gàsï :,"t, outside"
díìdíì :,l
kí-ßäkä :,ner
háØ,ddle
màm,parent-in-law
wà :,particle : interrogative
gë,particle : plural marker
ùbä,pay : to
wólï-gùrú,peanuts
ànï :,penetrate : to
dèßë p,person
gòö,pestle
ßáà :,pile
ùgù,pinch : to
gírò-sèlí,pipe : tobacco
tòhò,pirogue
köngö :,t of fruit
lòö,ace; time
…èë :,acenta
njíkï,ay : to
kòý :,pocket
gî :,pole for picking fruit
bíyä :,porridge
gírò :,pot : clay
ßüyä,pot for beer
súkä :,pound to remove shell : to
njàhà :,poverty
njùrù,press : to
kùyä,"pretty (girl, woman) : to be"
ògì,"prevent, stop, refuse : to"
käsä :,price
îrè :,pull : to
wàsö :,pumpkin
ènë,punctured
ùbö,"rchase, buy : to"
wüy,s
ìndä :,"t, place : to"
màmà :,thon
gîsíì :,ickly
njï,rain
kômb,rainbow
ßà,rainy season
ùlü,"raise, nourish : to"
kí-yïmí :,rat : type of
ní…à,razor
àkè :,red : to be
îgû :,refuse : to
ndákì :,"rest, remaining portion r"
gòtò :,"rest, traces of"
télè,return : to
bànï,rhinoceros
súkù :,nse : to
bä,ver
ná-mànë :,ver monster
róbò :,"road, path"
kúyà :,rooster
gígìï :,roots
kùlä :,rope
màngàrà,"rough, hard, raw : to be"
wŠ,"saliva, spit"
kàtä :,salt
tïbï :,sap; glue
tárò,sauce
njùßà,say : to
sálà :,scatter : to
gúnä,scorpion
èkè :,ratch : to
ùwà,e : to
köhö,ed of
ríbï,ll : to
tûßû :,"nd : away, to"
ìlà,send : to
kóØ,sesame
mìtíkí,seven
ùÿ,sew : to
njílì :,shade; spirit
bíï :,"shake : out, to"
îlë,sharpen : to
hôkû :,sheathe
kútà,shield s
ßîlû,shin
säkä,shoes
ründü :,short : to be
dägï,shoulder
tíï :,"out, cry out : to"
góngö,sift (flour) : to
tèmë :,sifter
ìnjï,sit : to
màká,six
ndäá :,"skin, hide"
këndí,skunk
nî-yä,sky
ßàÿ :,slave
ßï,sleep : to
hî,slowly
ßó :,small : to be
àtù,smell : to
tühü,smoke s
…àßà,snail
lï,snake
nè-kàlà,litariness
lä,ng
gîjè :,rghum
kálä :,ur tasting : to be
nìngà,English –
kí-bàs,spider
tïß,"spit, to; saliva, spit"
wùyà :,split : to
yäy,"split, divide, share : to"
ßûnë,squirrel : type of
njîmè :,squirrel : type of
kádà :,stalk :
kí-yòyóndü s,star
ßògò :,steal s
kùjì :,sterile person
ùdù,"stick : into, to"
nàßä :,ick to : to
bùdè,omach
mbätä :,ool
jë :,"story, tale"
mbòhö :,straw (for torch)
kàngä :,strength
sï :,string : to
dàbà :,structure for drying grain
ndóò :,"study, learn, read : to"
gïgï :,stump
núgü,stutter
njóßü :,"suck, kiss : to"
käkö :,sugar cane
sàÛ,surpass : to
òlì,swallow : to s
dúü,sweep : to
ndërë :,eet : to be
bängàw,eet potato
àlè,im : to
kïlá,il
tàkä,ke : to
gáØ :,tapioca plant
ndö,taste : to
tähä,tear : to
ngängä,teeth
dîgî :,ten
kí-yèmbé :,termite : type of
gà« :,testicles
jún,"there, over there"
ßîßè :,ick (liquid) : to be
bòlì,igh
ndôkû :,in : to be
kùnjä,irst
könö,thorn
mùtá :,three
njàmà :,thunder : to
…èy :,tick
kátï :,tickle : to
ìjä,tie : to
î,tired : to be
kàä :,toad
sèlí,tobacco
yàä-ré t,today
ßádà,tomb
yû-bìï :,morrow
ndîlî :,ngue
îdî,uch : to
gömbï :,ap
kägä :,ee
ßólö,tree : African mahogany
kòßò :,tree : Ficus platyphylla
mätö :,tree : Parkia africana
ßùtà :,tree : type of
ìndà,tremble : to
mbä,"trip; guest, host"
mbà,tsetse fly
mà…ù,"turtle, type of"
jîk¨Š :,twenty u
njùngà u,twin u
góØ :,"twisted, bent, to be"
…élè-mälá :,mä•
jöó,two
njïlï,ulate : to
ús,ulating
nänö,cle (maternal)
mèy,der; at bottom of
tótì :,tie
kájï :,urine
jé :,us (obj. of verb)
ßë,village
njü,voice
túrë :,vomit : to
àkò,wait for : to
ndü :,wake up : to
kàßë,walk : to
dúrù,want : to
tôî :,wash : to
gùmbä-dîgî :,wasp : mason w
…ëtë,wasp : yellow w
mànï,ter
kälä :,terbuck : type of
mbíì :,terbuck : type of
téè,ave : to
òyö,ave : to
yà :,web (spider)
tïyö,weed : type of
rèÿ :,well
kí :,which
njàhà :,white : to be
nàsárä,white person
náä,who?
àßà :,wide : to be
mùlà :,wildcat
nj- :,will (future marker)
…élè,nd
njò«,"nd up, wrap up : to"
ùsù,pe : to
gë-nè,th
kájë :,thout
màndé :,man
hàä :,"words, speech"
kìlà :,work
ndüsü,worm-eaten : to be
ßílï,wrap around : to
mbìlè,wrestling
ßálà :,write : to
kúndú¯ :,xylophone
náÛ,yawn : to
ßälä,year
njínjôî,yesterday
sè :,you : (plural)
í y,you : (sing. oblique)
"ì,ï",you (acc. sing.)
sé,u (oblique plural)
