nar,français
nÉ :,"ce, cet (emphatique)"
"Ñ-ndò,Ñ-nò :","ce, le"
sùwÆ,célibataire
bü,cendre
ßú,Langues Sara
dàn,"centre, milieu"
pànà,céphalophe à flancs roux
ndò :,cerémonie d'initiation
nd¸jÉ :,cicatrice
dÆ-rº :,ciel
lòbò,cigogne marabout
mƒ,cinq
kèndè :,"cithare, harpe"
g¸jæ,civette
ùnj¸ :,clair : être; allumer c
kúj¸-mûs¸ :,coeur
ßöng :,colère
tƒyð :,coller c
läá :,"ller, se"
kóndóng :,mbien
b¼ý,mment?
t‡dæ :,mpter
"ndètÕ, tèë",ncerner
kòs‡ :,ncombre
gôr‡yû :,conseiller
gó£ :,consoler; bercer; tromper
sú,conte
màd¸,copain
k‡ræ-k¸njÉ :,coq
ngô :,Langues Sara
kó-gºª,corbeau
kÕlæ :,corde
gàjÕ :,corne
rû,corps
kàdÕ :,côté de : à
kàdÕ :,"côté, poitrine"
küb¸,coton
kô,cou; gorge
tò :,couché : être
kíl,coude
ù® :,coudre
ßál :,couleurs; dessin; lignes
ÕjÆ :,couper
ÕgÆ :,"uper, hacher"
bÕndæ :,"urber, plier"
ngûd¸,urse; courir
gïnd¸ :,urt : être
kìyæ :,uteau
m¡yð :,Français
kóbö :,couvercle du grenier
ßö• :,craindre; peur
k¼rº-bòtó,crapaud
lòng :,crépir
ndër :,creuser
nç :,crier
ßòlò,Langues Sara
gá-kërë,criquet dévastateur
ngòrò :,croquer
ndïr,cuire
kúl :,cuire [la sauce longue]
gàrà :,cuisine
búr :,cuisse
ìd¸ :,"cuit, à point : être"
ndî® :,cultiver c
màdÕ :,cynocéphale
jámbàl :,chameau c
ßòyò :,champignon
pä :,"anson, chant"
kúl :,arbon
mäl :,arognard
bàtú :,at
mÕlÆ-k‡-wàá :,at sauvage
kët‡,atouiller
t‡ngæ :,Français
îb¸ :,chauffer la base d'un arb
sä :,chaussure
ngî :,chauve : être
k‡-ngîkÕr,chauve-souris de maison
döw :,"chauve-souris, esp. de"
ngä± :,chef
tàä :,chenille (sans poils)
nj‡bæ,chenille poilue
sä :,chercher
s‡ndæ,cheval
yìngà-dî :,cheveux
b¬yð :,"chèvre, cabri"
bís¸ :,chien d
yª :,chose
pá-tä :,d'abord d
kàm,dans d
yä :,danser
tï•,chirer
tüt‡ :,dans
ndá :,hors
kûô :,jà
bíní :,main
dèjè :,"demander, poser (question)"
ndÅç :,démanger
ngäng :,dents
"tîÿ,dù« :",dépasser
îtÕ,"déplacer, se"
róy,déplumer
nj‡bæ :,déranger
gìdÕ :,derrière
÷ìsÕ :,descendre
ùdÕ,descendre; entrer
ßál,"dessins, couleurs"
tút¸ :,"détacher, délier"
nùjÕ,détruire; abîmer
k¸ræ :,dette
jöó,deux
nÅ :,devant
tÆ,devant
sú-k‡-tït¸-b¸rð,devinette
ndèñg,diarrhée : avoir
÷àng,diffèrent; ailleurs
nÆ,re; marqueur de convers
ÕdÆ,re; parler
kûl :,"sputer, palabrer"
nàj¸ :,"sputer, quereller"
kùtÕ :,x
ngön-jï,igt
àd¸,donner
ßï :,dormir; sommeil
gìdÕ :,dos
lòmmm :,doucement
ndö :,douleurs prenatales
súmü :,droit
ngàñg :,"dur, difficile : être"
ìi :,durer longtemps
màñ,"eau, de l'eau"
ndùb¸ :,éclater; vacarme
ngô,écorce
mbàmbä :,écorce sec
tút¸,écraser
tè£ :,écraser (le foudre)
Õndæ,écrire
ndàm :,écureuil : esp. de e
ßûn :,écureuil de Gambie
mbél :,échanger [qc] e
kèd¸ :,éléphant
ù£ :,ever; nourrir
îg¸ :,pêcher; refuser
nd¸mð,prunter; prêter
gòg‡ :,arrière
sét¸ :,vain
ßáy :,"core, plus"
lò :,Français
ngön :,enfant
òjÕ :,"enfanter, accoucher"
sír :,"enfler, s'enfler, gonfler"
sü :,enfumer [qc]
î® :,"enlever, retirer"
màd¸-b¼º,ennemi
ßì® :,enrouler
ßìnd¸,enrouler
n¼º,ensemble
t‡ndæ,entasser
òö :,"entendre, écouter e"
dùb¸ :,"enterrer, semer"
güg¸,entourer
mbÅbÇ :,"entre, parmi é"
b‡læ :,entrejambe é
b‡læ,entrejambe
dÅç :,"envelopper, emballer é"
ÕlÆ :,voyer
ndè® :,ais : être
hìnd¸ :,"arpiller, écarter"
bäg¸,aule
nÕngÆ :,ervier
kÇnÇ :,ilepsie
kûn,Français
tÕgæ :,"épuiser. finir, achever"
ßùlò,esclave
dùl :,esp. d'antilope
körö,espace entre [qc]
ùsÕ :,essuyer
ö :,"et, aussi"
bÆ,"et, mais"
nàjÕ :,"étaler, étendre (au soleil)"
kúrmþ,étoile
ì,être
÷à :,être debout
ndó,étudier; aprendre f
göng,éviter f
yèd¸ :,excrément f
bÕrÆ-kîsÕ,expert cultivateur f
kïr :,fagot
ßö :,faim
÷ä,faire
ndàä :,ire griller à sec
"bélë,nélé",ire le pique-assiette
tör :,"ire mal, faire souffrir"
ndùj¸ :,rine
kîr,tigue
îr :,tigué : être
ngòròng,ucille
d¡yÜ :,femme
n¬yÜ :,"femme, épouse"
gäj¸ :,fendre
njàr,"fendre, couper"
rïyæ,fendre; déchirer
kþy :,fendre; diviser; partager
gìnd¸ :,fer
ùt¸ :,Langues Sara
gír :,fesses
hòr,feu
÷éng,filet
ngön :,"fils, fille"
ndèë :,filtrer
b¼y¼ :,fille initiée
hút¸ :,fleur; fleurir
bä,fleuve f
ÕlÆ,"flotter, couler"
nàl f,flûte
ùr :,foie
njà f,fois f
yŸþ,fondre
tôg¸ :,rce
kù :,rêt
ò :,rger
kîd¸ :,rgeron
ngàñg,"rt : être (boisson, magie)"
ndèlè,uiller
gàjÕ,urche d'arbre
gàjÕ :,Français
tƒyð,fourmi rouge : esp. de
ßë-tètè :,fourmilier
hûpû :,fourreau
hïl :,foyer
sî£,Langues Sara
ngándáng,fréquement
ngæ-kÇ,"frère, soeur"
kül :,froid
nÅ,front
ùsÕ :,frotter
"àñ, ùdÕ :",fructifier
kàñ :,fruit
¼ÿ :,"fuir, s'enfuir"
sà :,fumée
ngóy,future vie; au-delà
ngöm :,garder [troupeau]
gèl :,gauche
tÅç :,mir
bórö :,ncives
kèsÕ :,nou
kòl :,rafe
ßù® :,aner
gòm :,mbo
kál,"gourde, esp. de"
gîl :,gourdin
nº :,goûter
tÆ-kül,grâce à
k¼º :,"graillon, flegme"
kö :,"grain, germes"
yèmbÕ :,graisseux : être
bò :,Langues Sara
pápä,grand-frère
tîgÕ :,grandir
kà,grandparent
kûs¸ :,grêle
mûy :,grenier
gÕmbÆ,grenouille : esp. de
bò,gros : être
yþt¸,guêpe jaune : esp. de
gÕmbæ-gír-kèrë,guêpe maçonne
gÕmbæ-ndùl,guêpe noire : esp. de
àjÕ :,guérir; sauver
k¸ngæ :,che
kùÿ :,meçon
dàbÕ :,"ngar (pour l'ombre, etc.)"
mònjò,ricot
dîô :,"ut, en haut"
törö,herbe mauvaise : esp. de
bèmbëé :,"herbe, paille; brousse"
ndúr :,hérisson
ngônj¸ :,hernie
köó,héron garde-boeufs
kîÿ :,hibou
tàg‡-ßèë,Langues Sara
yàbÕ :,hippopotame
kîsÕ :,houe
yìb¸ :,huile
sô-sô,huit
ßòñg :,hyène
làä :,ici
mbó :,idiot
ngúl :,igname
ngàrw¼y i,iguane
µ- :,"il, elle"
ndájæ :,imiter j
kù® :,secte
táj¸ :,sulter
t¡¬ :,testins
n¡ :,lousie entre femmes;
ßáy :,mais
jó :,"jarre, canari"
m-,je
rû-nè£ :,"joie, félicité"
mbôr :,joue
kóg¸ :,jouer
ndû :,"jour, journée"
ndÕngæ :,"jumeaux, jumelles"
mbóng :,jusque
g‡læ :,kyste
ngòmö,"la grippe, la rhume"
nÅÇ,là-bas
nø :,là-bas (loin)
¡yÐ,laisser
mbà,lait
Õnæ :,"lancer, jeter l"
ndÅ,langue l
tà :,"langue, langage"
là l,large : être
là :,large : être
möng l,large : être (chemin)
tógö :,laver
-µ :,"le, la, lui (obj. de verbe)"
töÑ :,cher
bänj¸ :,pre
k‡-÷á,quel
-d‡ :,"s, leur"
ndä©-tà,vre
díì-ndï,Français
dîg¸m :,lièvre
ßîl :,lion
t¸rÉ :,"lit, lit de boit"
sŸy,loin
kèlèlë,"lombric, ver de terre"
sá,long : être
îÿ :,lourd : être
k‡-ndögö-mbélë,luciole
ndélë :,luire; briller
nº,lune
÷û :,"lutter, se battre; guerre"
rën m,maigre : être
jï,main
k‡-ndö-t‡ :,maintenant
gîjÕ-dùwÆ :,kÆrí
kúj¸ :,maison
mÅy :,maladie
líg¸rï :,ladie; infirmité
lôy,laxer (boue pour briques)
dÕngàm :,le
kül :,nche
ÕsÆ,nger
mü© :,nger (qc farineux)
Å,nger (qc mou)
ngàlìyà,nioc
k‡-ngîr-bädä,mante religieuse
súk¸ :,marché
njïyæ,"marcher, se promener"
k¼r¼,"marécage, étang"
kíl,margouillat
ngà :,mari
bày,Langues Sara
à :,marqueur d'interrogation
kûô,marqueur de débarrassement
à,marqueur du futur
-g¸,marqueur du pluriel : nom
-ñ :,marqueur du pluriel : verbe
t‡ :,marqueur locatif
kÕ-ndöý :,matin. de bon matin
ßär,maudire
màjà• :,mauvais : être
-« :,me (obj. de verbe)
wàs¸ :,melon
bògò :,menton
kÇ,mère m
mbûj‡,mesurer
yìb¸tèjÕ :,el
só-t‡ :,"eux, être mieux"
kö :,l (mot général)
tþy :,l pénicillaire
düb‡,Français
körö-rûý,mille-pattes
Õßæ :,modeler
mº :,moi (forme indépendant)
-» :,"mon, ma (oblique)"
à£,monter
dïí,Langues Sara
îjÕ :,"montrer, expliquer"
dÅ :,mordre
kòy,mort
yò :,mort; sorcerie
bì® :,mortier
kóng :,mouche
gàng :,mouche tsé-tsé n
nöm :,mouillé : être
òy :,mourir
húlüú :,mousse
yíl :,moustique
bàt¸ :,mouton
gòtóö :,n'exister pas
àlìyà :,ger
wàä :,tte : sorte de
ï-lö,faut pas
ndöhó :,uf (9)
kôn :,z
nëj¸ :,er
ndùl :,noir : être
÷ûý,noix de karité
górò :,noix kola
rï :,nom
kûr :,nombre
bÕlÆ,"nombreux, être"
kúm :,nombril
jÕ- :,nous (nom.)
j-,nous (nom.)
-jí,nous (obj. de verbe)
"-jí, -jí :","nous (oblique); notre, nos"
kìjÕ :,"nouveau, neuf"
kás¸,nouvelles
gümb¸rü :,noyau
ì£,"nuageux, noir : être"
gö :,nuque o
kùm :,oeil
kà,oeufs
yè£,o
júm :,oiseau : drongo
ndíl :,ombre; esprit
nän,oncle maternel
kùtÕ-gìdì-kóg¸»,Kul=dîgî-jî-hàré
mbï,eille
k¸ngæ,phelin
yír :,eille
÷á :,Français
wäl :,ourébi
tŸþ :,ouvert
tŸþ,ouvrir
háy :,pagaie
nël :,pagayer
mápà :,pain
màr-máng,pangolin
döb¸ :,"panier, sorte de"
njälä,pantalons
kàgÕ :,panthère
mbëtë,papier; livre
k‡-lët¸-bérë,papillon
täm-kàd¸ :,parce que
tït¸ :,pareil : être
ngè :,"parents, famille"
yày :,paresse
nàj¸,parole
nübö :,partager
àlé :,"pas, ne ... pas"
bængà :,patate douce
dàa-jï,ume
ndòö :,uvreté
Õgæ :,yer
ng¸ræ :,au
ndä© :,"au, cuir"
náw,cheur
ùdÕ :,pénétrer dans l'eau
kòñg,perche pour cueillir
kèrwè :,perdrix
bîb¸ :,père
mèdè :,perles
dèë,personne
düú,petit : être
sÏ,"peu, un peu"
bò®-k‡-wàá,phacochère
njà,"pied, jambe"
güm :,piège
dér :,"pigeon, tourterelle"
ùr,piler
sùwæ :,piler (pour enlever le son)
gòy :,pilon
kªrª :,piment
ùgÕ :,"pincer, gratter"
tènjÕ :,pintade
îsÕ :,piquer
tò :,pirogue
gòtÕ :,"ace de, traces de"
kîw,acenta
dò :,"aie, blessure"
nè£ :,aire
nç :,eurer
"ndï, màñ :",uie
bè£ :,plume
b¡¬ :,poil
wúl :,pois de terre
kÕgÆ :,poison
känj¸,poisson
kèsèng :,poisson : capitaine
ngànjÕ :,poitrine
mbîr :,pomme cannelle
gÅ,pomme d'Adam
mbínj¸ :,porc-épic
tÆ-kúj¸ :,porte
òtö,porter
Åç :,porter [habits]
Õndæ,poser à plat p
ng‡sæ :,pou
k¸njÉ,poulet p
ndäÑg,ur rien
täm-yä :,ur; à cause de
"nàj¸-÷í,",urquoi
ndùm :,urri : être
ìtÕ,usser
bümbúrü :,Français
dÆtál :,"premier, d'abord"
tàä :,prendre
ùn :,prendre
tª :,préparer la bouillie
"èrè, mbérë :","presser, forcer"
t¸nð :,"prêter, emprunter"
gät¸ :,prix
nàj¸ :,problème
ngîr :,proche
lú :,"profond, être"
ßül,profondeur
ngè :,propriétaire
kúwæ :,propriétaire
îdÕ :,puiser
bòlò-màñ :,puits
ßï :,pus
màm,python
lò-Ñ q,quand
÷‡ngªy-t‡,quand?
sô,quatre
"kàd¸, täm-kàd¸","que, pour que"
µ,"que, qui"
Ñ :,"e, qui, ce que, ce qui"
÷í :,"e, quoi"
gèdè :,"émander, solliciter (don)"
kÕlæ :,eue
k‡ :,"i, que"
nª :,i?
ngÕrÆ :,cines
îy :,"ramasser, prendre"
àgÕ,ramper (un enfant)
àlìyà :,ramper (une plante)
b¼º :,rancune
yëÑg,rasoir
ndän :,"rassasié, être"
kán :,Langues Sara
yég¸-tüb¸ :,rat : esp. de
yég¸ :,"rat, souris"
nà£ :,rater; manquer
mbà£,rayon de miel
gír,réfléchir
mbät‡,refuser r
÷òsÕ :,remplir
t¸bæ :,renvoyer; chasser
òtÕ :,répandre une odeur
ndìgÕ :,pondre
yŸ,sidu
kòö :,spiration; repos; souffle
nÐy :,ster
ndól :,"veiller, se réveiller"
tél,Français
n¬ :,rêver; rêve
bènë,rhinocéros
kàrï,rien; vide; normale
sùk¸ :,rincer
ògö :,rire
jàng :,rival
màr,rônier
tàl :,rosée
gÕjÆ :,"roter, éructer"
kèrë,rouge : être
÷ób¸ :,"route, chemin"
róbö :,ruche
ngî,rugueux : être
bümbúrü :,sable
njár‡m-ngöý :,sable
ngòng :,sac
nÕngÆ :,"sagaie, lance"
ùwÆ :,"saisir, prendre"
ßàr :,saison pluvieuse
ßäl :,saison seche
höró :,leté
hûr :,"live, crachat"
pápä,ndale
mós¸ :,ng
tënd¸ :,ngsue
kànj¸ :,ns
tª,Français
bàl :,saut
gáj‡-sír,sauterelle
gè®,"savoir, connaître"
ndàrìy¼,scolopendre
g‡næ :,scorpion
tùtÕ :,sec : être
àÿ :,sec : être (en surface)
ndòg¸,Langues Sara
s‡kæ :,secouer
mbà :,sein
kàt¸ :,sel
j‡ngæ :,semoule
gäng :,separer
sïrí :,sept
nàj¸ :,"serment; honneur, justice s"
lï,serpent
kór :,sésame
k‡-kóg¸- :,"seul, tout seul"
kónö-n¼º :,seulement
tïb¸,sève; glu
ké :,si
ndè£ :,lure : esp. de
ßèt¸ :,nge
mŸhÏ,x
kÕndæ :,if
lò-sîlí :,ir
mbàng :,soleil
kàl,solitude
tìl :,"sombre, nuit"
tún :,somnoler
bÕnæ,son de mil
-µ :,"son, sa"
kÕmð,sorcier
gîjÕ :,Langues Sara
tèë,sortir
bëdë :,souche
mbíkï,sourd-muet
gír :,"sous, dessous"
gè® :,spatule en bois
kùjÕ :,stérilité
njíb¸ :,sucer
lëÑg :,sucer
ìl :,sucer (enfant)
nè£ :,sucré : être t
tètë :,sueur; suer
dî,"sur, dans t"
máng :,tabac
kömbër,tabouret t
tôl :,iller; affûter
gánd¸,lon
màs¸ :,marinier
kîdÕ,mbour
dàlìyà :,mbour à deux faces
gángá :,"mbour, grand"
tŸmþ :,Français
sïyæ,tamiser
bèñ,tante paternelle
gër,tapioca blanc
ìï :,tarir
-ï,te (acc. s.)
ngÕrÆ :,Langues Sara
dîngÕrî,termite : esp. de
wº :,termite ailé
yç :,termite blanc
nàng :,"terre, sol"
dî-nàng :,terre; territoire
ndàm :,testicules
dî :,tête
käs¸ :,tibia t
kád¸ :,tige
m¡yÐ :,tique
îr t,tirer
jîndû t,toile d'araignée
dÆ-ßád¸ :,tombe t
òsö,mber
-í,"n, ta; toi"
ngè£ :,rche de paille
÷ùgÕ :,rdre; être courbé
mŸ :,Français
bü•,tortue : esp. de
îdÕ :,toucher
ngándáng,"toujours, souvent"
nél-mä• :,tourbillon
tür :,"tourner, se"
màlàng :,tous
kés¸ :,tousser
mbérë,traire; presser avec main
àtÕ :,tranchant : être
kÕlÆ :,travail
tèë,"traverser, passer"
ndèbè :,trembler
nöm,tremper
kùtÕ-mÕtÉ,trente
hét¸ :,tresser t
òjö :,tresser (le secco)
mÕtÉ :,trois
ßë,trou
bòlò :,trou
mbùtÕ,"ouer; percé, être"
ÕngÆ,ouver
ßàä :,ouver par terre
ï- :,; vous
tûl,er
ngòng¸rö,teurs
kóg¸» :,Français
ngéd‡-màñ,urine
kàyà,vagabondage
kèë,"van, panier pour vanner"
ngòm :,"vanter, se"
künd‡,vapeur
bür :,varan
ìgÕ :,vendre
÷èë,venir
¡ :,venir de; se lever
nél :,vent
kèm :,ventre
mîtÕ :,"verge, pénis"
ndüs¸ :,vermoulu : être
k¸,vers v
ßök‡ :,verser v
òñg :,verser
küb¸ :,vêtement
dº,viande
ß‡gæ :,vieillard
tîgÕ :,eux
ßë :,llage
kùtÕ-jöó :,ngt
gÅç :,siter
ndîl,"squeux, gluante"
láy,te
¼º,ir
màd¸-ßë,Kul=ní-dàrü
ndü :,voix
ßògÕ :,voler
tûmbû,vomir
gè :,vouloir
-sÕ :,ü vous (acc.)
-sí,vous (oblique); votre
mbä,"voyage; hôte, invité"
ndíl :,"youyou, faire"
kïnd‡,zorille
gòtÕ :,absence
dän :,accompany
túb¸ :,activate (fire)
gÅ,adam's apple
gö :,"after, behind"
ngóy,afterlife
nÅ :,ahead of
árgè :,alcoholic drink
k‡-kóg¸- :,Sara Languages
kûô :,already
ngándáng,"always, often"
màlàng :,all
mbÅbÇ :,among
ö :,and
bÆ,"and, but"
ßöng :,anger
dº :,animal a
mbër :,"announcement, public"
ndìgÕ :,"answer, reply : to"
tƒyð,ant : red
ßë-tètè :,teater : type of
màr-máng,teater : type of
pànà,telope : duiker
dùl :,telope : duiker
wäl :,telope : oribi
nàs¸ :,telope : roan
jÕngæ,arbuste [Sesbannia pachyc
nàj¸ :,argue about : to
kûl :,argue with : to
mbÆ-sôl :,armpit
bü,ash
dèjè :,ask : to
kán :,assemble : to
bèñ,aunt (paternal)
göng,avoid
kûô,"away,off"
k¸ngæ :,axe
màdÕ :,baboon
gìdÕ :,back
gòg‡ :,backwards b
sùwÆ,bachelor b
màjà• :,bad : to be
ngòng :,bag
ngî :,bald : to be
ngô,bark (of tree)
mbàmbä :,"rk (of tree), dry"
döb¸ :,sket : large
kèë,sket (for winnowing)
döw :,t : type of
k‡-ngîkÕrî,t : type of
ndòg¸ :,the : to
ì,: to
tït¸ :,English –
mèdè :,beads
mònjò,beans
"àñ, ùdÕ :",bear fruit : to
mbäý :,beard
täm-kàd¸ :,because
täm-yä :,Sara Languages
t¸rÉ :,bed
tèjÕ :,bee; honey
róbö :,beehive
b¡yÐ :,ò bees (live in ground)
jóÿ :,before
tÆ,before
gèdè :,beg for : to
gìdÕ :,behind
kúm :,belly button
bÕndæ :,bend : to
só-t‡ :,b
bò :,g : to be
yè£,rd
júm :,rd : type of
dÅ :,te : to
àt¸ :,tter : to be
ndùl :,ack : to be
kîd¸ :,acksmith
ngè-kùm-tû,blind person
mùndö :,blind person (from birth)
hólö :,blister
mós¸ :,blood
bò®-k‡-wàá,boar
ngòm :,boast : to
rû,Sara Languages
èlë,boil : to
k¸ngæ,bone
nd¸mð,borrow; lend : to
nj‡bæ :,bother : to
g¸rð,bow and arrow
bày,bowl : small clay
bÕnæ,bran
mápà :,bread
tètÕ :,break : to
tû :,break : to
mbà :,breast
kòö :,breath; rest
ùnj¸ :,bright : to be; to light
ndÕsæ :,oom
sáj¸ :,other-in-law
ìtÕ,"d, grow : to"
dîgÕ :,ffalo
Å,rn : to
îb¸ :,rn base of tree : to
gÕjÆ :,English –
dùb¸ :,"bury, plant : to"
kám,"bush, leaf"
k‡-lët¸-bérë,butterfly
gír :,buttocks
rû,"by, near"
ßär :,call : to
ßär,"call, name : to"
jámbàl :,camel
jëm,"caracal,desert lynx"
òtö,carry : to
ngàlìyà,cassava
bàtú :,cat
lá,catch (in air) : to c
ùwÆ :,"catch, seize : to"
tàä :,caterpillar : hairless
nj‡bæ,caterpillar : hairy
ndè£ :,catfish : type of c
ndàrìy¼ c,centipede
g¸jæ,"civet, african"
bîr-jó :,ay : black
ndÕbÆ,ay : red
à£,"imb, go up : to"
ùt¸ :,ose : to
küb¸ :,clothes
gîl :,club
yël,coals of fire
kül :,cold
ngòmö,"cold, flu"
ßál :,color; lines; designs
÷èë,come : to
¡ :,come from; get up : to
"ndètÕ, tèë",concern : to
gó£ :,console; rock : to
ndïr,cook : to
kúl :,cook sauce : to
ìd¸ :,cooked enough : to be
sî£,cool : to be c
bÕlÆ :,"coop, pen"
gîjÕ-dùwÆ :,kÆrí
nïÑ :,corpse
küb¸,cotton
kés¸ :,cough : to
gôr‡yû :,unsel : to
t‡dæ :,unt : to
wà,untryside
kóbö :,ver : granary
màñg,w : cattle
àgÕ,crawl
tèë,cross : to
b‡læ,crotch
b‡læ :,crotch; space between leg
kó-gºª,crow
Õßæ :,"crowd, crowd about : to"
tút¸,Sara Languages
kòs‡ :,cucumber
àjÕ :,cure : to
ßär,curse : to
ÕjÆ :,cut : to
dò :,"cut, sore"
g‡læ :,"cyst, external cyst"
tÕgòn,"chaff, husk"
l¬yð c,chameleon
nùt¸,char : to
kúl :,charcoal
mbôr :,cheek
ngànjÕ :,chest
ngòrò :,chew noisily : to
k¸njÉ,icken
ngä± :,ief
ngön :,ild
ndö :,ildbirth
bògò :,"in, jaw"
ÕgÆ :,chop : to
ndäm :,dance
ì£,"dark, cloudy : to be"
tìl :,dark; invisibleness
ndû :,day
mbíkï,deaf-mute
kòy,death
yò :,death; magic
k¸ræ :,debt
lú :,deep : to be
ßül,deepness
nëj¸ :,deny : to
÷ìsÕ :,descend : to
nùjÕ,"destroy, ruin : to"
tàl :,dew
ndèñg,diarrhea : to have
òy :,die : to
÷àng,different
ndër :,dig : to
höró :,dirtiness
nübö :,vide among : to
÷ä,: to
bís¸ :,g
ï-lö,n't (negative command)
kòrö,nkey
tÆ-kúj¸ :,or
dér :,"dove, pigeon"
nàÑg :,"down, downwards"
tún :,doze off : to
díì-ndï :,dragonfly
n¬ :,dream
¼ÿ :,drink : to
kàsÕ :,drink (alcoholic)
kîdÕ,Sara Languages
gángá :,drum : type of
dàlìyà :,drum : type of
tùtÕ :,dry : to be
àÿ :,dry : to be
ìï :,"dry : up, to"
nàjÕ :,dry in the sun : to
ßäl :,dry season
ndäbá :,duck
mÉng‡rÆ,dung beetle
bümbúrü :,dust
mbï,ear
kèlèlë,earthworm
ÕsÆ,t : to
Å,t (boule) : to
mü© :,t (powder) : to
kà,g
njòr :,gplant
köó,ret
sô-sô,ght
kíl,elbow
kèd¸ :,elephant
kùtÕ-gìdì-kóg¸»,Kul=dîgî-jî-hàré
güg¸,"encircle, go around : to"
màd¸-b¼º,enemy
àsÕ,Sara Languages
kÇnÇ :,epilepsy
lò-sîlí :,evening
yèd¸ :,excrement
mbél :,exchange : to
ndùb¸ :,explode : to
kùm :,eye
òsö f,fall : to
sŸy,faraway
ndî® :,"farm, plant : to"
bÕrÆ-kîsÕ,"farmer, master"
bò,fat : to be f
bîb¸ :,ther
kîr,tigue
ßö• :,ar; to fear
bè£ :,ather
îdÕ :,tch [water] : to
÷û :,ght : to
ndèë :,filter : to
÷òsÕ :,fill : to
ÕngÆ,find : to
ßàä :,find on ground : to
ngön-jï,finger
tÕgæ :,finished : to be
hòr,fire
k‡-ndögö-mbélë,firefly
kïr :,firewood
dÆtál,first
pá-tä :,first
hág¸ :,firstborn child f
känj¸ f,fish f
kèsèng :,fish : Lates niloticus
náw,fisherman
kùÿ :,shhook
mƒ,ve
tè£ :,ash (lightning) : to
ng‡sæ :,ea
¼ÿ :,ee : to
ÕlÆ,"oat, flow : to"
ndùj¸ :,our
hút¸ :,flower : to
nàl,flute
kóng :,fly
húlüú :,foam
k‡-bü-bù :,fog
mù®,food (main dish for Saras
njà,"foot, leg"
tÆ-kül,for
nÅ,forehead
kù :,forest
ò :,forge : to
gàjÕ :,fork of tree
gàjÕ :,forked : to be
sô,four
ngándáng,frequently g
gÕmbÆ,frog : type of
kàñ :,fruit
ndän :,full : to be
körö,gap
