mango,français
b¬-yƒs¡ :,"bousier, scarabée sacrée"
tû :,"briser, casser"
múm,brouillard
wàlé :,brousse
yÜm,bruiner
"ndü,ká",bruit
njôtÕ :,bruit de désapprobation
Å :,brûler
ngî :,bûche
dîgÕ,buffle
dÆbÕ :,cacher
ïyæ :,cacher; tendre
nïÑ :,cadavre
Ær :,"cailloux, pierre, montagne"
‡-ngòó :,calebasse c
kär-mbï :,c
kü,"calebasse, esp. de"
ndìng :,lme
m“ÿ,llosité
màd¸,"marade, copin"
ndäb‡,nard
gùm,nari (pour la bière)
bàsÕräng :,ncère de la peau
kìyæ-ngäng¸,nine
kád¸ :,nne de sucre
tÆtÕ,casser
tíjæ :,"casser, rompre (fréq.)"
lé,"ce, cet (emphatique)"
k‡µ,"ce, le"
ngábò :,célibataire
bü :,cendre
ßú :,Langues Sara
dàn :,"centre, milieu"
pàn :,céphalophe à flancs roux
ndò,cerémonie d'initiation
ndäj‡,cicatrice
dî-rº,ciel
jùtÕ-màñ,cigogne marabout
mƒ :,cinq
kèndè,"cithare, harpe"
güjæ,civette
ùnjü,clair : être; allumer c
à® :,"clair, propre : être"
gàlì,clôture en bois
jà£ :,cob des roseaux
wöng,colère
tƒyð,coller c
tƒyð :,"ller, se"
kándáng,mbien
bàÑ :,mment?
tídæ,mpter
ùsÕ :,ncerner
kòs‡,ncombre
ndÆÿ,confier un travail
îjÕ,conseiller
gôl :,consoler; bercer; tromper
tà-sú :,conte
ndïngæ :,convoiter
kúnð,coq
gá-g¼ª :,corbeau
kùlæ,corde
gàjÕ,corne
rû :,corps
kàdÕ,côté de : à
kàdÕ,"côté, poitrine"
búy :,coton
mínd¸ :,cou; gorge
tò :,couché : être
síl-jï :,coude
ùü :,coudre
ndäj‡,couleurs; dessin; lignes
ìjÆ :,couper
ják¸ :,couper en morceaux (les os) c
túgæ :,"uper, hacher"
rät‡,"urber, plier"
gæb‡ræ :,"urge non-comestible, esp."
rïbæ,urgette : petite
ngûd¸ :,urse; courir
gîjÕ,urt : être
kìyæ,uteau
m¡yð,Français
kób¸ :,couvercle du grenier
ßæ• :,craindre; peur
ngÉbÆtrÆ,crapaud
ùr,creuser
"‡-küý,",crier
‡-bétë :,criquet dévastateur
mà,crocodile
ngÆ,croquer
ndïr :,cuire
kúl,cuire [la sauce longue]
kÉy-pàkÕ,cuisine
bìñg,cuisse
ìd¸ :,"cuit, à point : être"
ndî®,cultiver c
màdÕ,cynocéphale
tà£ :,chacal
jámbàl,chameau c
ndî®,champ
b¼y-lò,champ en jachère
ßòyò,champignon
pä :,"anson, chant"
kúl :,arbon
mäl,arognard
ndÅ,asse; dieu de la chasse
sùk¸,asser dehors
bàtú,at
mùlÆ,at sauvage
túngæ,Français
îb¸ :,chauffer la base d'un arb
säbä :,chaussure
î®,chauve : être
dö,"chauve-souris, esp. de"
ngä±,chef
tîÛ,chenille (sans poils)
sáñg,chercher
síndæ :,cheval
bÆ£-dî,cheveux
b¬yð,"chèvre, cabri"
ndÉy :,chicotte
bís¸,chien d
ngÆæ :,chiffon sur la tête
mbÉt¸ :,choisir
né,chose
yŸ :,chose dégoutant
ßäá,d'abord d
mŸþ :,dans d
lÆ,danser
tï• :,chirer
tït‡,dans
ndát‡,hors
ngàä,jà
"bòrè,bèrè",main
dÆj,"demander, poser (question)"
ndÅç,démanger
nàr,démener; arracher
ngäng,dents
tîÿ,dépasser
tó :,"déplacer, se"
tôr :,déplumer
jûg¸,déranger
gìdÕ,derrière
÷ìsÕ,descendre
ùr :,descendre; entrer
ßál,"dessins, couleurs"
tút¸,"détacher, délier"
"bújúrü,tújü :",détruire; abîmer
küræ,dette
jöó :,deux
nÅ d,devant
tà :,devant
sú-kàd¸-n¼º-ßë,devinette
ndÆñg :,diarrhée : avoir
Lúbæ,Dieu; Luwa (frère de Sou)
ràng :,diffèrent; ailleurs
ìdÆ :,re; parler
kûl :,"sputer, palabrer"
nàj¸,"sputer, quereller"
læb¸,stribuer
dîgÕ,x
ngön-jï,igt
àd¸ :,donner
ßï :,dormir; sommeil
gìdÕ,dos
ján-ján,doucement
ndö :,douleurs prenatales
täd¸,douter
kîl,droite
ngàñg,"dur, difficile : être"
ì,durer longtemps
màñ :,"eau, de l'eau"
tál,éclabousser; sautiller
ndübæ,éclater; vacarme
màmä,écorce sec
tÆ£ :,écraser (le foudre)
ndàng :,écrire
ndàm,écureuil : esp. de e
ßûn :,écureuil de Gambie
kÆd¸,éléphant
ù£,ever; nourrir
îg¸ :,pêcher; refuser
yÆl :,poisonner
ndïmæ :,prunter; prêter
gòg‡,arrière
pí,vain
ßÉy,"core, plus"
lò :,Français
ndÆm :,"enduire d'huile, oindre"
ngün,enfant
òjÕ :,"enfanter, accoucher"
sü :,enfiler
tí,"enfler, s'enfler, gonfler"
sü,enfumer [qc]
nìngÆ-bær,engoulevent
tæg‡,enlever avec les mains
î® :,"enlever, retirer"
njè-b¼º :,ennemi
ßír :,enrouler
ßïnd¸ :,enrouler
nà-t‡ :,ensemble
n¼º,ensemble : réciprocité
ndú® :,entasser
òö,"entendre, écouter e"
dùbü é,"enterrer, semer"
mbùnð,"entre, parmi é"
"bál, gál",entrejambe é
gál :,entrejambe
ànd¸,entrer
ùlÆ :,voyer
ndÆæ,ais : être
bäg¸ :,aule
nìngÆ,ervier
kÇnÇ,ilepsie
kün :,Français
tìgæ,"épuiser. finir, achever"
‡-làbàbà,escargot
ßÆæ :,esclave
dùl,esp. d'antilope
ndàng,"essorer, tordre"
bî® :,essuyer
rÉm :,"et, aussi"
É :,"et, mais"
nàjÕ,"étaler, étendre (au soleil)"
át‡sæ,éternuement
ndûb¸ :,étinceler
kÉrwþy :,étoile
tö :,être
¼,être debout
ndó :,étudier; aprendre f
s¡ :,excrément f
bùrÆ-kîsÕ,expert cultivateur f
sï,fagot
ßö :,faim
÷ä :,faire
ndîÛ,ire griller à sec
tö :,"ire mal, faire souffrir"
pölë,ire rites
ndùj¸,rine
kî :,tigue
î,tigué : être
ngîrîng :,ucille
dèné,femme
nþ,"femme, épouse"
gºyº,fendre
tª :,fendre; déchirer
tº,fendre; diviser; partager
gìnd¸,fer
ùt¸ :,Langues Sara
kùt¸ :,fesses
pÆr :,feu
büræ :,filet
ngön,"fils, fille"
ndÆÿ,filtrer
b¼y¼,fille initiée
ndòlë,flétrir : se f
pútü,fleur; fleurir
bä :,fleuve f
lö :,"flotter, couler"
ùr :,foie
mónë,foin (pour les animaux)
njà :,fois f
lŸþ :,fondre
tôg¸,rce
ò,rger
kîd¸,rgeron
ÆngÕ :,"rt : être (boisson, magie)"
ndòlè :,uiller
gàjÕ,urche d'arbre
gàjÕ,Français
bémë :,"fourmi, grande : esp."
tú :,"fourmi, petite noire : esp."
tƒyð :,fourmi rouge : esp. de
tòÿ :,"fourmi, rouge : esp."
bärä,fourmilier
ngÆæ,fourreau
ngôy,fourreau
pïl :,foyer
sî£ :,Langues Sara
mbæl,frais; mouillé : être
ngö-kÇ :,"frère, soeur"
kül :,froid
nÅ :,front
ùsù,frotter
ànd¸,fructifier
kànd¸,fruit
yæb‡,fruit de karité
¼ÿ :,"fuir, s'enfuir"
sà :,fumée
köó :,future vie; au-delà
ngª¼-ngünð :,"gale, la"
ngæm,garder [troupeau]
gÆl :,gauche
t“mð,mir
yìd¸,ncives
täg¸,nette
ßúgúlú-njà,nou
kòl,rafe
ßù,aner
yímð,mbo
gà£ :,"gourde, esp. de"
gîl :,gourdin
nº :,goûter
"mbæl-dî,",grâce à
ndîl :,"graillon, flegme"
kö-né :,"grain, germes"
ngùr,graisseux : être
bòý,Langues Sara
pápá :,grand-frère
tîgÕ,grandir
kà :,grandparent
ìngÉ,gratter
kûs¸,grêle
dàm :,grenier
gín-njà,griffes
bòý :,gros : être
gùmð,guêpe maçonne
mbÕ®-mb¡¬ h,guêpe noire : esp. de
àjÕ :,guérir; sauver
ngÐy :,"guetter, traquer h"
tÉm :,"gui, plante parasite"
küngæ,che
kùÿ :,meçon
dàbÕ,"ngar (pour l'ombre, etc.)"
mùnjù :,ricot
"ngªmª,","ut, en haut"
käy :,rbe : esp de
tèmè,rbe : esp. de
wàlè,"herbe, paille; brousse"
ndú®,hérisson
ngónj‡,hernie
kæ€ :,héron garde-boeufs
kîÿ,hibou
tàg‡-nè :,Langues Sara
àbÕ,hippopotame
kîsÕ,houe
ùb¸,huile
jï-này-jöó :,huit
ßágÕrà,hyène
nè :,ici
mbÉ,idiot
ngúl,igname
ngàrÕm :,iguane
µ-,"il, elle"
d‡- :,"ils, elles i"
ndáj¸,imiter j
sülæ :,j
ùy :,cliner (pour verser)
söl,quiété : être
kùü,secte
táj¸,sulter
t¡¬,testins
ßä :,viter
n¡ :,lousie entre femmes;
ì«,loux de : être
nd¼-à•,mais
jó :,"jarre, canari"
m- :,je
sül :,joue
ndäm,jouer
ndû :,"jour, journée"
ndùngÆ,"jumeaux, jumelles"
sár,jusque
kà,kyste
yó :,là-bas
nø,là-bas (loin)
¡yÐ :,laisser
mbà :,lait
dä-màñ,lamantin; esprit de l'eau
ùr,lancer un projectile sur
ìlæ,"lancer, jeter l"
ndÅ :,langue l
tà :,"langue, langage"
tát¸ :,large : être
tát¸ :,large : être
tóg¸,laver
-é :,"le, la, lui (obj. de verbe)"
töÑ :,cher
bänj¸,pre
k‡-rá :,quel
-dé :,"s, leur"
yºª,ane : esp. de
dîg¸m,lièvre
ßîl :,lion
sÆ :,liquide de la bouillie
tírÉ,"lit, lit de boit"
s¼y :,loin
ngäl :,long : être
pít¸,Langues Sara
îÿ,lourd : être
‡-ndçy-dé,luciole
ndçy,luire; briller
nºy :,lune
mùlÆ,lutte
÷û,"lutter, se battre; guerre"
kúpkùp,machette
njº :,magouste à queue blanche m
Æng¸ :,maigre : être
jï :,main
ngàä m,maintenant
másàr,kÆrí
kÉy,maison
mÅy,maladie
mÆtÕ,ladie; infirmité
mbçy :,laxer (boue pour briques)
dìngÆm,le
kül,nche
ùsò :,nger
m¦ø,nger (qc farineux)
Å :,nger (qc mou)
ngàlì :,nioc
‡-gæng,mante religieuse
súkÕ,marché
njïyæ :,"marcher, se promener"
báylà :,margouillat
ngîw,mari
wà :,marqueur d'interrogation
kûô :,marqueur de débarrassement
à :,marqueur du futur
jë :,marqueur du pluriel : nom
-ï :,marqueur du pluriel : verbe
t‡,marqueur locatif
sƒ,matin. de bon matin
màn :,maudire
màjà•,mauvais : être
-« :,me (obj. de verbe)
kùmæ :,médicament
wàs¸ m,melon
gín-tà m,menton
kÇ :,mère m
mbôj¸ :,mesurer
ùb¸-tòjÕ,el
só-t‡,"eux, être mieux"
kö,l (mot général)
tðy,l pénicillaire
jÆ :,l sauvage
wæ,"l, esp. de."
düb‡ :,Français
mbàtÕ,"mince, svelte : être"
ùbæ :,modeler
mº :,moi (forme indépendant)
ndän-njà :,mollet
-» :,"mon, ma (oblique)"
à£ :,monter
dô-dïí :,Langues Sara
îjÕ :,"montrer, expliquer"
dÅ :,mordre
"kòy, yò :",mort
yò,mort; sorcerie
bì® :,mortier
kÉm,mouche
gÆng,mouche tsé-tsé n
ndùÿ,mouillé : être
òy :,mourir
Æ«,mousse
yíl :,moustique
bàt¸,mouton
kàsÕ,mûr : être
gòtó,n'exister pas
àlè :,ger
pál,tte : sorte de
tüwæ,tte : sorte de
"jï-kárë,jï-n¼y-kárë",uf (9)
Æm :,z
näj¸,er
÷ò :,eud
ndùl,noir : être
‡-÷û,noix de karité
gôrî,noix kola
rï :,nom
kûr,nombre
"òng¸,","nombreux, être"
kúm :,nombril
jÕ- :,nous (nom.)
j- :,nous (nom.)
-jí :,nous (obj. de verbe)
-jí,"nous (oblique); notre, nos"
sìgÕ,"nouveau, neuf"
kº,noyau
¡ :,"nuageux, noir : être"
ndùl :,"nuit, sombre : être"
gö :,nuque o
sÉ :,odeur nauséabond
kÆm :,oeil
kîw :,oeufs
ndíjæ,oignon sauvage : esp. de
Æ£ :,o
ndíl,ombre; esprit
nän :,oncle maternel
dîg¸-gìd-é-kárë,Kul=dîgî-jî-hàré
mbï :,eille
sïngæ :,phelin
yí :,eille
÷á,Français
wäl,ourébi
dù :,outil pour graver
"tág¸, tŸþ",ouvert
tŸþ :,ouvrir
háy :,pagaie
læl,pagayer
mápà,pain
màr-mángá,pangolin
kò®,panier (pour pêcher)
kàrè,"panier, sorte de"
kàgÕ,panthère
mbëtë :,papier; livre
sábèlë,papillon
dû-tàlÆ,parce que
tït¸,pareil : être
nüj¸ p,"parents, famille"
dàbÕ,paresse
ßÉy-täá :,parole
käy,partager
à• :,"pas, ne ... pas"
yòlè,passer sur le feu
bûngîw,patate douce
ndòö,uvreté
ùgæ,yer
ngïræ,au
ndäá,"au, cuir"
mbîw :,cheur
tôy :,peler
Æñ,pénétrer dans l'eau
sènè,perdrix
bîb¸,père
mÆdÕ,perles
dòÛ :,personne
ndòý :,personne avec le même nom
sÏ :,"peu, un peu"
bÆ® :,phacochère
njà :,"pied, jambe"
güm,piège
Æ :,pièrre de divination
dÉ :,"pigeon, tourterelle"
ùr :,piler
sÆbÕ,piler (pour enlever le son)
gòy :,pilon
käb¸,piment
ùgÕ :,"pincer, gratter"
tànjÕ,pintade
tòó,pipe
îsÕ :,piquer
tò :,pirogue
tó,"ace de, traces de"
kîy :,acenta
dò :,"aie, blessure"
nÆ£ :,aire
bÆgÕrÆ,"anche, bois plat"
nç,eurer
sík¸,eurer à sanglots
ndï,uie
bÆ£ :,plume
bÆ£,poil
bè-ßá,pois de terre
kìngæ,poison
känj¸ :,poisson
kÆm-ndÇy,poisson : capitaine
sìw,poisson : esp. de
wúd¸,poisson : esp. de
dæ• :,poisson : esp. de
nÅ-gúy,poitrine
mbî,pomme cannelle
tæb¸-mínd¸ :,pomme d'Adam
bàbÕrà :,pont
ïyæ,porc-épic
"tà-kÉy,tà-÷Éb¸",porte
òtæ :,porter
ùlÆ,porter [habits]
ìndæ :,poser à plat p
ndünæ :,"poser, incliner contre p"
÷ìrÆ :,poteau tri fourchu
ndísæ p,pou
künjÉ :,poulet p
kàrë-bè :,ur rien
kÕ-dû,ur; à cause de
kÕ-dû-÷í :,urquoi
ndùm,urri : être
kòd¸,ussière
"ßÉy-ßäá, kété","premier, d'abord"
tàä :,prendre
ùn,prendre
tª,préparer la bouillie
ìsÆ :,presser avec doigts
tünæ,"prêter, emprunter"
gät¸,prix
tà,problème
mbô,proche
ù :,"profond, être"
njè,propriétaire
‡-ßä :,propriétaire
îdÕ,puiser
bòlè-màñ,puits
‡-ßáà-bÅç,punaise des lits
ßï :,pus
màm :,python
lò-k‡ :,quand
sô :,quatre
kàd¸,"que, pour que"
ßá :,"que, qui"
k‡,"e, qui, ce que, ce qui"
÷í,"e, quoi"
kîy,"émander, solliciter (don)"
mòng,eue
k‡,"i, que"
nª :,i?
ngìrÆ,cines
îy,"ramasser, prendre"
àgÕ :,ramper (un enfant)
àlè :,ramper (une plante)
b¼º :,rancune
ndìsæ,"raser, se"
bîr :,rasoir
ndä,"rassasié, être"
kÉw :,Langues Sara
nì» :,rat : esp. de
bùngÕràng,rat : esp. de
yÉg¸,"rat, souris"
nà£ :,rater; manquer
näg‡,rattraper
ndáj¸ :,redresser
gí® :,réfléchir
mbät‡ :,refuser r
÷ùsÕ,remplir
kùlÆ,remuer
kùtúrü :,remuer r
tübæ r,renvoyer; chasser
ÆtÕ :,répandre une odeur
ndìgÕ,pondre
yŸ :,sidu
kÆæ :,spiration; repos; souffle
ndÉg¸,ste
n¼y,ster
sÜy :,tailler
ndÉl,"veiller, se réveiller"
tÉl :,Français
n¬ :,rêver; rêve
àsÕbànï :,rhinocéros
käg¸,rhumatisme
kàrë :,rien; vide; normale
sùk¸,rincer
kòg¸,rire
jàng,rival
màr :,rônier
tàl :,rosée
dÆjÕ,"roter, éructer"
kàsÕ :,rouge : être
÷Éb¸,"route, chemin"
pÇnþ,ruche
yªñg¸rä,sable
yªñg¸rä,sable
mbù,sac
gàgÕ,sagaie : sorte de
nìngÆ s,"sagaie, lance"
ùwÆ :,"saisir, prendre"
nºy-kàdÕ,saison seche
yöró,leté
yörö :,"live, crachat"
pápá :,ndale
mÉs¸,ng
tÉnd‡,ngsue
nà£,ns
nªy :,Français
gábrì :,sauterelle
gÆ® :,"savoir, connaître"
jínð,scorpion
tùtÕ,sec : être
àÿ :,sec : être (en surface)
ndòg¸ :,Langues Sara
yék¸ :,secouer
mbà :,sein
kàt¸,sel
jíngæ,semoule
gäng,separer
sïrí s,sept
lï :,serpent
ndùbÕ :,"serpent, esp. de"
kÉ :,sésame
÷è,seulement
sé,si
ndÆ£,lure : esp. de
gàgÕ :,lure : esp. de
ßÆt¸,nge
ìbÕ,roter
mŸhÏ :,x
kùndæ,if
kàdÕ,soleil
tìl :,"sombre, nuit"
lÉng¸,somnoler
b¡nð :,son de mil
-é,"son, sa"
njè-yò :,sorcier
gîj,sorgho
tŸþ :,sortir
jïg¸,souche
mbíkï,sourd-muet
gín :,"sous, dessous"
gÆæ :,spatule en bois
kùjÕ,stérilité
njíb¸,sucer
nïÑg,sucer
ìl,sucer (enfant)
línd¸,sucré : être t
tÆt¸,sueur; suer
ndòlè,suivre
dî :,"sur, dans t"
máñg,tabac
kálï :,tabouret t
rát¸,"cher,enduire (d'huile)"
tôl :,iller; affûter
màs¸,marinier
gáñg,"mbour, grand"
tèmë,mis
yàtè :,tamis : sorte de
sïyæ,tamiser
bÆñ :,tante paternelle
gÉ :,tapioca blanc
ìï :,tarir
-ï :,te (acc. s.)
ngìrÆ,Langues Sara
dîngÕrî,termite : esp. de
wº,termite ailé
sûlûlû,termite blanc
nàngá,"terre, sol"
dî-nàng,terre; territoire
kûr-gÆm,testicules
dî :,tête
kæm-njà,tibia t
kád¸ t,tige
mìyÐ,tique
ndô® :,tirer
jìndæ :,toile d'araignée
dî-ßád¸,tombe t
ùs¸ :,mber
tús¸ :,mber (en groupe)
ÆdÕ :,mber (pluie)
ùr :,mber par terre
-í :,"n, ta; toi"
ngÆ£,rche de paille
÷ùgÕ,rdre; être courbé
ndü,rdu : être
mÐy :,Français
îdÕ :,toucher
ndŸÏ-ndŸÏ,"toujours, souvent"
yÉl-mä•,tourbillon
láy,tous
kÉs¸,tousser
"mbórë,òrè :",traire; presser avec main
àtÕ,tranchant : être
kùlÆ,travail
dæ :,"traverser, passer"
"dàd¸,ndèbÕ",trembler
yïl :,tremper
kîr-mùtÉ :,trente
pótë,tresser t
òj¸ :,tresser (le secco)
mùtÉ,trois
ßë :,trou
bòlè,trou
ndönönö :,ou dans termitière
mbùtÕ :,"ouer; percé, être"
ìngÆ :,ouver
ßàä,ouver par terre
ï- :,; vous
tûl :,er
kárë,Français
kÉd‡-màñ,urine
kàyà,vagabondage
mùdù,vagin
kèë :,"van, panier pour vanner"
ngòm,"vanter, se"
bür,varan
ndög¸,vendre
÷èë :,venir
¡,venir de; se lever
yÉl :,vent
mŸþ :,ventre
mîtÕ,"verge, pénis"
ndüs¸,vermoulu : être
k¸ :,vers v
mbÉl,verser v
ùng¸,verser
ndùsü v,verser en laissant residues
kübü,vêtement
dä :,viande
ßúgæ,vieillard
ßë :,llage
kîr-jöó,ngt
gÅç,siter
kàlàng :,te
òö :,ir
njè-tà-kÉy,Kul=ní-dàrü
ndï :,voix
ßògÕ,voler
tömö :,vomir
ndìg,vouloir
-sí,ü vous (acc.)
-sí :,vous (oblique); votre
mbä :,"voyage; hôte, invité"
‡-ndï•,"youyou, faire"
gòtÕ,absence
dän :,accompany
ìbÕ :,activate (fire)
tæb¸-mínd¸ :,adam's apple
gö :,"after, behind"
köó :,afterlife
nÅ,ahead of
árgë,alcoholic drink
ngàä,already
ndŸÏ-ndŸÏ :,"always, often"
láy,all
mbùnð,among
rÉm :,and
É :,"and, but"
wöng a,anger
dä :,animal a
mbþ,"announcement, public"
ndìgÕ,"answer, reply : to"
tƒyð :,ant : red
tú :,ant : small black
tòÿ :,ant : small red
bémë :,t : type of
bärä,teater : type of
màr-mángá :,teater : type of
pàn :,telope : duiker
dùl,telope : duiker
wäl,telope : oribi
nàs¸,telope : roan
k‡-nª-jë :,arbuste [Sesbannia pachyc
nàj,argue about : to
kûl :,argue with : to
màsôl,armpit
tŸþ :,arrive : to
gös¸,"artist, expert"
bü :,ash
dÆj,ask : to
kÉw :,assemble : to
bÆñ :,aunt (paternal)
kûô :,"away,off"
küngæ,axe
màdÕ,baboon
gìdÕ,back
gòg‡,backwards b
ngábò :,bachelor b
màjà•,bad : to be
mbù,bag
yÉ® b,balance : to
î®,bald : to be
mónë,bale of grass
màmä,"rk (of tree), dry"
kàrè,sket : large
kèë :,sket (for winnowing)
dö,t : type of
ndòg¸,the : to
tö :,: to
tït¸,English –
mÆdÕ,beads
mùnjù :,beans
ànd¸,bear fruit : to
mbáy-tà,beard
dû-tàlÆ,because
kÕ-d,because of
tírÉ,bed
‡-ßáà-bÅç,bedbug
tòjÕ,bee; honey
pÇnþ,beehive
yïb¸,beer : type of
b¡yÐ,ò bees (live in ground)
kété,before
tà :,before
kîy,beg for : to
gìdÕ,behind
kúm :,belly button
rät‡,bend : to
só-t‡,b
bòý,g : to be
Æ£ :,rd
dÅ :,te : to
àt¸ :,tter : to be
ndùl,ack : to be
kîd¸,acksmith
njè-kÆm-tû,blind person
pólë,blister
mÉs¸,blood
bÆ® :,boar
bÆgÕrÆ,board
ngòm,boast : to
rû :,Sara Languages
òlë :,boil : to
sïngæ :,bone
ndïmæ :,borrow; lend : to
jûg¸,bother : to
mändäng :,bow and arrow
b¡nð :,bran
mápà b,bread
tÆtÕ b,break : to
tû :,break : to
mbà :,breast
kÆæ :,breath; rest
bàbÕrà :,bridge b
ùnjü,bright : to be; to light
ndìsæ,oom
sáj¸,other-in-law
dîgÕ,ffalo
Å :,rn : to
îb¸ :,rn base of tree : to
yòlè,rn hairs : to
dÆjÕ,rp
dùbü,"bury, plant : to"
‡-möng¸,bush : type of
kám :,"bush, leaf"
tòbÕ,bushbuck
sábèlë,butterfly
kùt¸ :,buttocks
mbô :,"by, near"
ndän-njà :,calf
ndìng :,calm
ßä :,call : to
"sîb¸-dî, ßä :","call, name : to"
m“ÿ,calluses
jámbàl,camel
òtæ :,carry : to
ngàlì :,cassava
bàtú,cat
ùwÆ :,"catch, seize : to"
tîÛ,caterpillar : hairless
ndÆ£,catfish : type of c
gàgÕ :,c
güjæ,"civet, african"
gín-njà,aws
ánj¸,ay : black
à® :,"ear, clean : to be"
njôtÕ :,icking noise
à£ :,"imb, go up : to"
ùt¸ :,ose : to
kübü,clothes
gîl :,club
kül :,cold
ndäj‡,color; lines; designs
÷èë :,come : to
ÆdÕ :,come down : to
¡,come from; get up : to
ùsÕ :,concern : to
pít¸,"congratulate, praise : to"
gôl :,console; rock : to
ndïr :,cook : to
kúl,cook sauce : to
ìd¸ :,cooked enough : to be
sî£ :,cool : to be c
bòlè c,"coop, pen"
másàr,kÆrí
nïÑ :,corpse
búy :,cotton
kÉs¸,cough : to
îjÕ,unsel : to
tídæ,unt : to
wàlé :,untryside
kób¸ :,ver : granary
ndïngæ :,vet : to
màñg :,w : cattle
àgÕ :,crawl
mà,crocodile
dæ :,cross : to
gál :,crotch
"bál, gál",crotch; space between leg
gá-g¼ª :,crow
ùbæ :,"crowd, crowd about : to"
kòs‡,cucumber
àjÕ :,cure : to
màn :,curse : to
sÜy :,cut
ìjÆ :,cut : to
tíjæ :,cut up (several things)
dò :,"cut, sore"
kà,"cyst, external cyst"
kúl :,charcoal
sùk¸,chase out
sül :,cheek
nÅ-gúy c,chest
ngÆ,chew noisily : to
künjÉ :,icken
ngä±,ief
ngün,ild
ndö :,ildbirth
gín-tà,"in, jaw"
mbÉt¸ :,oose : to
túgæ :,chop : to
ják¸ :,chop up
ndùl :,dark : to be
¡ :,"dark, cloudy : to be"
tìl :,dark; invisibleness
ndû :,day
mbíkï,deaf-mute
"kòy, yò :",death
yò,death; magic
küræ,debt
ù :,deep : to be
näj¸,deny : to
÷ìsÕ,descend : to
"bújúrü,tújü :","destroy, ruin : to"
tàl :,dew
ndÆñg :,diarrhea : to have
òy :,die : to
ràng :,different
ùr,dig : to
yöró,dirtiness
læb¸,distribute : to
käy,vide among : to
÷ä :,: to
bís¸,g
kòrö :,nkey
"tà-kÉy,tà-÷Éb¸",or
täd¸,ubt : to
dÉ :,"dove, pigeon"
bÆÉ :,"down, downwards"
lÉng¸,doze off : to
n¬ :,dream
¼ÿ :,drink : to
yÜm,drizzle : to
gáñg,drum : type of
tùtÕ,dry : to be
àÿ :,dry : to be
ìï :,"dry : up, to"
nàjÕ,dry in the sun : to
nºy-kàdÕ,dry season
ndäb‡,duck
b¬-yƒs¡ :,dung beetle
kòd¸ e,dust
mbï :,ear
ùsò :,t : to
Å :,t (boule) : to
m¦ø,t (powder) : to
kîw :,g
njò,gplant
kæ€ :,ret
jï-này-jöó :,ght
síl-jï :,elbow
kÆd¸,elephant
dîg¸-gìd-é-kárë,Kul=dîgî-jî-hàré
njè-b¼º :,enemy
